# 01 nominal 270 (Up to date)
# 1928 data points written for 5 variables.
# Simulation warnings:
#   Thick fins may not be modeled accurately.
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (32.4 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,0
0.01,4.1843e-4,0.084147,3.7296e-5,2.3305e-5
0.02,0.0034813,0.53184,3.103e-4,1.939e-4
0.03,0.012806,1.3434,0.0011414,7.1324e-4
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.032011,2.519,0.0028533,0.0017829
0.05,0.064178,3.9498,0.0057204,0.0035745
0.06,0.11108,5.4824,0.0099009,0.0061867
0.07,0.17327,7.0253,0.015445,0.0096508
0.08,0.25085,8.5759,0.022359,0.013972
0.09,0.34389,10.134,0.030652,0.019153
0.1,0.45246,11.7,0.040329,0.025201
0.11,0.57662,13.269,0.051396,0.032116
0.12,0.71638,14.836,0.063854,0.0399
0.13,0.87171,16.401,0.077699,0.048551
0.14,1.0426,17.963,0.092929,0.058069
0.15,1.229,19.522,0.10954,0.06845
0.16,1.4309,21.079,0.12754,0.079695
0.17,1.6482,22.633,0.14691,0.091801
0.18,1.881,24.185,0.16766,0.10477
0.19,2.1293,25.734,0.18979,0.11859
0.2,2.3929,27.282,0.21329,0.13328
0.21,2.6719,28.831,0.23816,0.14882
0.22,2.9663,30.38,0.2644,0.16522
0.23,3.2762,31.931,0.29202,0.18247
0.24,3.6015,33.482,0.32101,0.20059
0.25,3.9422,35.034,0.35138,0.21957
0.26,4.2983,36.587,0.38312,0.2394
0.27,4.6699,38.14,0.41624,0.2601
0.28,5.0569,39.694,0.45074,0.28165
0.29,5.4594,41.249,0.48662,0.30407
0.3,5.8774,42.805,0.52387,0.32735
# Event LAUNCHROD occurred at t=0.31 seconds
0.31,6.3108,44.361,0.56251,0.35149
0.325,6.99,46.697,0.6232,0.38938
0.3475,8.0741,50.204,0.72068,0.45008
0.38125,9.8472,55.469,0.8814,0.54984
0.43125,12.799,63.295,1.1516,0.71687
0.48125,16.141,71.161,1.46,0.90695
0.53125,19.874,79.066,1.8066,1.1202
0.58125,24.001,87.01,2.1913,1.3567
0.63125,28.524,94.994,2.6137,1.6165
0.68125,33.445,103.02,3.0731,1.8998
0.73125,38.765,111.07,3.5686,2.2068
0.78125,44.487,119.17,4.099,2.5374
0.83125,50.613,127.3,4.6626,2.892
0.88125,57.144,135.47,5.2578,3.2707
0.93125,64.083,143.67,5.8825,3.6736
0.98125,71.431,151.91,6.5341,4.1011
1.0313,79.191,160.19,7.2102,4.5534
1.0813,87.365,168.51,7.9081,5.0308
1.1313,95.955,176.88,8.625,5.5337
1.1813,104.96,185.29,9.3582,6.0625
1.2313,114.39,193.75,10.106,6.6177
1.2813,124.25,202.24,10.866,7.1995
1.3313,134.53,210.78,11.64,7.8084
1.3813,145.23,219.37,12.425,8.4447
1.4313,156.37,227.99,13.225,9.1087
1.4813,167.93,236.66,14.041,9.8006
1.5313,179.93,245.36,14.877,10.521
1.5813,192.37,254.11,15.737,11.269
1.6313,205.24,262.88,16.624,12.045
1.6813,218.55,271.7,17.542,12.848
1.7313,232.3,280.54,18.494,13.68
1.7813,246.48,289.41,19.477,14.539
1.8313,261.12,298.3,20.488,15.427
1.8813,276.19,307.22,21.524,16.342
1.9313,291.71,316.16,22.581,17.285
1.9813,307.68,325.13,23.654,18.257
2.0313,324.09,334.12,24.743,19.257
2.0813,340.96,343.14,25.851,20.287
2.1313,358.27,352.19,26.981,21.347
2.1813,376.04,361.26,28.139,22.436
2.2313,394.25,370.34,29.326,23.555
2.2813,412.92,379.42,30.543,24.703
2.3313,432.04,388.48,31.784,25.879
2.3812,451.62,397.53,33.047,27.085
2.4312,471.64,406.56,34.328,28.319
2.4812,492.11,415.59,35.627,29.583
2.5312,513.04,424.61,36.948,30.877
2.5812,534.41,433.61,38.293,32.201
2.6312,556.23,442.6,39.664,33.553
2.6812,578.5,451.58,41.061,34.935
2.7312,601.21,460.54,42.478,36.345
2.7812,624.37,469.49,43.915,37.785
2.8312,647.98,478.42,45.371,39.255
2.8812,672.03,487.35,46.853,40.754
2.9312,696.53,496.24,48.363,42.282
2.9812,721.47,505.08,49.897,43.839
3.0312,746.84,513.86,51.453,45.424
3.0812,772.66,522.58,53.03,47.039
3.1312,798.9,531.25,54.625,48.683
3.1812,825.58,539.86,56.241,50.355
3.2312,852.68,548.41,57.881,52.055
3.2812,880.21,556.91,59.545,53.783
3.3312,908.16,565.34,61.228,55.54
3.3812,936.53,573.72,62.928,57.325
3.4312,965.32,582.04,64.647,59.137
3.4812,994.52,590.31,66.388,60.977
3.5312,1024.1,598.51,68.15,62.844
3.5812,1054.1,606.66,69.936,64.738
3.6312,1084.6,614.75,71.743,66.66
3.6812,1115.4,622.75,73.568,68.608
3.7312,1146.6,630.43,75.409,70.583
3.7812,1178.2,637.74,77.266,72.583
3.8312,1210.1,644.68,79.143,74.607
3.8812,1242.4,651.25,81.036,76.654
3.9312,1275,657.45,82.943,78.723
3.9812,1307.9,663.27,84.862,80.812
4.0312,1341.1,668.73,86.797,82.921
4.0812,1374.5,673.81,88.747,85.048
4.1312,1408.2,678.51,90.708,87.192
4.1812,1442.1,682.85,92.677,89.352
4.2312,1476.2,686.98,94.656,91.526
4.2812,1510.5,690.98,96.648,93.716
4.3312,1545.1,694.84,98.653,95.919
4.3812,1579.8,698.58,100.67,98.136
4.4312,1614.7,702.19,102.68,100.37
4.4812,1649.7,705.66,104.71,102.61
4.5312,1685,708.95,106.75,104.87
