# 02 nominal 292.5 (Up to date)
# 1937 data points written for 5 variables.
# Simulation warnings:
#   Thick fins may not be modeled accurately.
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (33.3 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,0
0.01,4.1843e-4,0.084147,3.7296e-5,2.3305e-5
0.02,0.0034813,0.53184,3.103e-4,1.939e-4
0.03,0.012806,1.3434,0.0011414,7.1324e-4
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.032011,2.519,0.0028533,0.0017829
0.05,0.064178,3.9498,0.0057204,0.0035745
0.06,0.11108,5.4824,0.0099009,0.0061867
0.07,0.17327,7.0253,0.015445,0.0096508
0.08,0.25085,8.5759,0.022359,0.013972
0.09,0.34389,10.134,0.030652,0.019153
0.1,0.45246,11.7,0.040329,0.025201
0.11,0.57662,13.269,0.051396,0.032116
0.12,0.71638,14.836,0.063853,0.0399
0.13,0.87171,16.401,0.077698,0.048551
0.14,1.0426,17.963,0.092929,0.058069
0.15,1.229,19.522,0.10954,0.06845
0.16,1.4309,21.079,0.12754,0.079695
0.17,1.6482,22.633,0.14691,0.091801
0.18,1.881,24.184,0.16766,0.10477
0.19,2.1293,25.734,0.18979,0.11859
0.2,2.3929,27.282,0.21329,0.13328
0.21,2.6719,28.831,0.23816,0.14882
0.22,2.9663,30.38,0.2644,0.16521
0.23,3.2762,31.931,0.29202,0.18247
0.24,3.6014,33.482,0.32101,0.20059
0.25,3.9421,35.034,0.35138,0.21956
0.26,4.2983,36.586,0.38312,0.2394
0.27,4.6699,38.14,0.41624,0.2601
0.28,5.0569,39.694,0.45074,0.28165
0.29,5.4594,41.249,0.48661,0.30407
0.3,5.8774,42.805,0.52387,0.32735
# Event LAUNCHROD occurred at t=0.31 seconds
0.31,6.3108,44.361,0.5625,0.35149
0.325,6.99,46.697,0.6232,0.38936
0.3475,8.074,50.203,0.72065,0.44993
0.38125,9.8472,55.469,0.88129,0.54927
0.43125,12.799,63.295,1.1512,0.7152
0.48125,16.141,71.16,1.4593,0.90366
0.53125,19.875,79.065,1.8055,1.1148
0.58125,24.002,87.009,2.1897,1.3489
0.63125,28.525,94.993,2.6115,1.6063
0.68125,33.446,103.01,3.0702,1.8874
0.73125,38.766,111.07,3.5651,2.1927
0.78125,44.488,119.17,4.0949,2.5231
0.83125,50.613,127.3,4.6582,2.8793
0.88125,57.144,135.47,5.2534,3.2623
0.93125,64.083,143.67,5.8785,3.6733
0.98125,71.43,151.91,6.5312,4.1136
1.0313,79.188,160.19,7.2091,4.5847
1.0813,87.36,168.51,7.9098,5.0882
1.1313,95.948,176.88,8.6308,5.6255
1.1813,104.95,185.29,9.3697,6.1985
1.2313,114.38,193.74,10.125,6.8085
1.2813,124.23,202.24,10.895,7.4566
1.3313,134.5,210.78,11.679,8.1437
1.3813,145.2,219.36,12.478,8.87
1.4313,156.33,227.98,13.294,9.6357
1.4813,167.88,236.65,14.128,10.44
1.5313,179.87,245.36,14.984,11.281
1.5813,192.3,254.1,15.866,12.159
1.6313,205.16,262.88,16.777,13.07
1.6813,218.46,271.69,17.72,14.015
1.7313,232.19,280.53,18.697,14.991
1.7813,246.37,289.4,19.707,16
1.8313,260.99,298.3,20.746,17.043
1.8813,276.05,307.21,21.81,18.122
1.9313,291.56,316.15,22.896,19.238
1.9813,307.51,325.12,24,20.395
2.0313,323.91,334.11,25.122,21.592
2.0813,340.75,343.13,26.265,22.83
2.1313,358.05,352.18,27.433,24.106
2.1813,375.8,361.25,28.629,25.419
2.2313,393.99,370.33,29.858,26.767
2.2813,412.64,379.4,31.116,28.151
2.3313,431.75,388.46,32.401,29.572
2.3812,451.3,397.51,33.708,31.032
2.4312,471.3,406.55,35.035,32.532
2.4812,491.75,415.57,36.382,34.073
2.5312,512.65,424.59,37.753,35.653
2.5812,534,433.59,39.15,37.271
2.6312,555.79,442.58,40.575,38.926
2.6812,578.03,451.56,42.027,40.618
2.7312,600.72,460.52,43.501,42.349
2.7808,623.62,469.38,44.98,44.102
2.8308,647.2,478.32,46.496,45.913
2.8808,671.22,487.24,48.04,47.76
2.9308,695.68,496.13,49.613,49.644
2.9808,720.58,504.97,51.211,51.565
3.0308,745.92,513.75,52.833,53.525
3.0808,771.7,522.47,54.477,55.523
3.1308,797.91,531.14,56.143,57.56
3.1808,824.54,539.75,57.83,59.635
3.2308,851.61,548.3,59.544,61.746
3.2808,879.1,556.79,61.282,63.894
3.3308,907.01,565.23,63.041,66.079
3.3808,935.34,573.61,64.819,68.303
3.4308,964.08,581.93,66.618,70.565
3.4808,993.24,590.19,68.44,72.862
3.5308,1022.8,598.4,70.285,75.194
3.5808,1052.8,606.55,72.154,77.563
3.6308,1083.1,614.64,74.047,79.966
3.6808,1113.9,622.64,75.96,82.406
3.7308,1145.1,630.31,77.89,84.881
3.7808,1176.6,637.63,79.839,87.391
3.8308,1208.5,644.57,81.807,89.933
3.8808,1240.8,651.14,83.795,92.505
3.9308,1273.3,657.34,85.796,95.107
3.9808,1306.1,663.17,87.812,97.736
4.0308,1339.3,668.63,89.844,100.39
4.0808,1372.7,673.71,91.893,103.07
4.1308,1406.3,678.42,93.954,105.77
4.1808,1440.2,682.75,96.024,108.5
4.2308,1474.2,686.88,98.105,111.24
4.2808,1508.5,690.88,100.2,114
4.3308,1543,694.75,102.31,116.78
4.3808,1577.6,698.49,104.43,119.58
4.4308,1612.4,702.09,106.55,122.4
4.4808,1647.5,705.57,108.68,125.24
4.5308,1682.6,708.85,110.83,128.09
