# 03 nominal 315 (Up to date)
# 1947 data points written for 5 variables.
# Simulation warnings:
#   Thick fins may not be modeled accurately.
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (34 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,0
0.01,4.1843e-4,0.084147,3.7296e-5,2.3305e-5
0.02,0.0034813,0.53184,3.103e-4,1.939e-4
0.03,0.012806,1.3434,0.0011414,7.1324e-4
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.032011,2.519,0.0028533,0.0017829
0.05,0.064178,3.9498,0.0057204,0.0035745
0.06,0.11108,5.4824,0.0099009,0.0061867
0.07,0.17327,7.0253,0.015444,0.0096508
0.08,0.25085,8.5759,0.022359,0.013972
0.09,0.34389,10.134,0.030652,0.019153
0.1,0.45246,11.7,0.040329,0.025201
0.11,0.57662,13.269,0.051396,0.032116
0.12,0.71638,14.836,0.063853,0.0399
0.13,0.87171,16.401,0.077698,0.048551
0.14,1.0426,17.963,0.092929,0.058068
0.15,1.229,19.522,0.10954,0.06845
0.16,1.4309,21.079,0.12754,0.079694
0.17,1.6482,22.633,0.14691,0.091801
0.18,1.881,24.184,0.16766,0.10477
0.19,2.1292,25.733,0.18979,0.11859
0.2,2.3929,27.282,0.21328,0.13327
0.21,2.6719,28.83,0.23815,0.14882
0.22,2.9663,30.38,0.2644,0.16521
0.23,3.2762,31.93,0.29202,0.18247
0.24,3.6014,33.482,0.32101,0.20059
0.25,3.9421,35.034,0.35138,0.21956
0.26,4.2983,36.586,0.38312,0.2394
0.27,4.6698,38.14,0.41624,0.2601
0.28,5.0569,39.694,0.45074,0.28165
0.29,5.4594,41.249,0.48661,0.30407
0.3,5.8773,42.804,0.52387,0.32735
# Event LAUNCHROD occurred at t=0.31 seconds
0.31,6.3108,44.361,0.5625,0.35149
0.325,6.9899,46.696,0.62318,0.38933
0.3475,8.074,50.203,0.72056,0.4498
0.38125,9.8472,55.469,0.88096,0.5488
0.43125,12.799,63.294,1.1503,0.71382
0.48125,16.141,71.159,1.4574,0.90094
0.53125,19.875,79.064,1.8023,1.1104
0.58125,24.002,87.008,2.185,1.3427
0.63125,28.526,94.991,2.6052,1.5981
0.68125,33.446,103.01,3.0623,1.8777
0.73125,38.767,111.07,3.5558,2.1823
0.78125,44.489,119.17,4.0846,2.5132
0.83125,50.614,127.3,4.6478,2.8719
0.88125,57.145,135.47,5.244,3.2601
0.93125,64.082,143.67,5.8717,3.6799
0.98125,71.428,151.91,6.5293,4.1335
1.0313,79.184,160.18,7.215,4.6235
1.0813,87.353,168.51,7.927,5.1524
1.1313,95.937,176.87,8.6635,5.7231
1.1813,104.94,185.28,9.4228,6.3381
1.2313,114.36,193.74,10.204,6.9997
1.2813,124.2,202.23,11.006,7.7095
1.3313,134.46,210.77,11.828,8.4684
1.3813,145.15,219.35,12.673,9.2768
1.4313,156.27,227.98,13.54,10.134
1.4813,167.81,236.64,14.433,11.038
1.5313,179.79,245.35,15.352,11.987
1.5813,192.2,254.09,16.303,12.978
1.6313,205.05,262.87,17.286,14.009
1.6813,218.33,271.68,18.305,15.075
1.7313,232.05,280.52,19.36,16.178
1.7813,246.21,289.39,20.45,17.318
1.8313,260.81,298.29,21.572,18.497
1.8813,275.86,307.2,22.722,19.72
1.9313,291.34,316.14,23.899,20.989
1.9813,307.27,325.11,25.1,22.31
2.0313,323.65,334.1,26.325,23.681
2.0813,340.48,343.11,27.577,25.101
2.1313,357.75,352.16,28.859,26.567
2.1813,375.47,361.23,30.175,28.075
2.2313,393.64,370.32,31.527,29.624
2.2813,412.27,379.39,32.913,31.214
2.3313,431.34,388.45,34.328,32.848
2.3812,450.86,397.49,35.77,34.531
2.4312,470.83,406.53,37.237,36.264
2.4812,491.25,415.55,38.731,38.048
2.5312,512.12,424.57,40.255,39.878
2.5812,533.44,433.57,41.81,41.752
2.6312,555.2,442.56,43.398,43.67
2.6812,577.41,451.54,45.015,45.632
2.7312,600.06,460.5,46.66,47.643
2.7799,622.53,469.21,48.286,49.649
2.8299,646.06,478.14,49.985,51.756
2.8799,670.03,487.06,51.716,53.906
2.9299,694.45,495.96,53.479,56.099
2.9799,719.3,504.79,55.272,58.337
3.0299,744.59,513.58,57.093,60.623
3.0799,770.32,522.3,58.943,62.954
3.1299,796.47,530.96,60.819,65.333
3.1799,823.06,539.57,62.723,67.757
3.2299,850.07,548.12,64.656,70.226
3.2799,877.5,556.62,66.618,72.738
3.3299,905.36,565.05,68.607,75.296
3.3799,933.63,573.43,70.622,77.901
3.4299,962.31,581.75,72.662,80.552
3.4799,991.41,590.01,74.729,83.246
3.5299,1020.9,598.22,76.824,85.984
3.5799,1050.8,606.37,78.948,88.764
3.6299,1081.1,614.46,81.1,91.585
3.6799,1111.9,622.46,83.276,94.451
3.7299,1143,630.14,85.475,97.361
3.7799,1174.4,637.45,87.698,100.31
3.8299,1206.3,644.4,89.945,103.3
3.8799,1238.4,650.98,92.214,106.33
3.9299,1270.9,657.18,94.503,109.4
3.9799,1303.7,663.02,96.809,112.49
4.0299,1336.7,668.48,99.136,115.62
4.0799,1370.1,673.56,101.48,118.78
4.1299,1403.6,678.27,103.84,121.97
4.1799,1437.4,682.61,106.22,125.18
4.2299,1471.4,686.74,108.6,128.42
4.2799,1505.6,690.74,111.01,131.68
4.3299,1540,694.61,113.43,134.96
4.3799,1574.6,698.35,115.86,138.26
4.4299,1609.3,701.95,118.3,141.59
4.4799,1644.3,705.43,120.75,144.94
4.5286,1678.4,708.63,123.15,148.22
