# 08 termnated 292.5 (Up to date)
# 1781 data points written for 5 variables.
# Simulation warnings:
#   Thick fins may not be modeled accurately.
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (630 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,0,0
0.01,3.9718e-4,0.11234,3.3683e-4,2.1047e-4
0.02,0.0028739,0.58822,0.0024372,0.0015229
0.03,0.010002,1.4279,0.0084821,0.0053002
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.024355,2.6318,0.020654,0.012906
0.05,0.048122,4.0908,0.04081,0.025501
0.06,0.082566,5.6515,0.07002,0.043753
0.07,0.12808,7.2227,0.10862,0.067873
0.08,0.18474,8.8015,0.15666,0.097895
0.09,0.25258,10.388,0.2142,0.13385
0.1,0.33167,11.982,0.28127,0.17576
0.11,0.42204,13.58,0.35791,0.22365
0.12,0.52371,15.175,0.44413,0.27752
0.13,0.63664,16.768,0.5399,0.33737
0.14,0.76082,18.358,0.64521,0.40318
0.15,0.89624,19.945,0.76006,0.47494
0.16,1.0429,21.53,0.88441,0.55264
0.17,1.2007,23.113,1.0183,0.63628
0.18,1.3697,24.693,1.1616,0.72585
0.19,1.5499,26.27,1.3144,0.82133
0.2,1.7412,27.846,1.4767,0.92272
0.21,1.9437,29.423,1.6484,1.03
0.22,2.1574,31.001,1.8295,1.1432
0.23,2.3821,32.58,2.0202,1.2623
0.24,2.6181,34.16,2.2203,1.3874
0.25,2.8652,35.74,2.4299,1.5183
0.26,3.1235,37.321,2.6489,1.6552
0.27,3.393,38.902,2.8775,1.798
0.28,3.6737,40.485,3.1155,1.9468
0.29,3.9656,42.068,3.363,2.1014
# Event LAUNCHROD occurred at t=0.3 seconds
0.3,4.2686,43.652,3.62,2.262
0.315,4.7437,46.029,4.0239,2.5143
0.3375,5.5014,49.598,4.6716,2.9188
0.37125,6.7397,54.959,5.7379,3.5841
0.42125,8.7991,62.922,7.5266,4.6993
0.47125,11.128,70.925,9.5657,5.9697
0.52125,13.728,78.968,11.856,7.3961
0.57125,16.601,87.051,14.398,8.9795
0.62125,19.749,95.172,17.194,10.721
0.67125,23.172,103.33,20.242,12.622
0.72125,26.873,111.53,23.545,14.683
0.77125,30.852,119.76,27.102,16.907
0.82125,35.112,128.03,30.913,19.296
0.87125,39.654,136.34,34.978,21.851
0.92125,44.478,144.68,39.298,24.576
0.97125,49.585,153.06,43.873,27.472
1.0213,54.976,161.47,48.703,30.545
1.0713,60.652,169.93,53.788,33.796
1.1213,66.613,178.44,59.129,37.23
1.1713,72.858,186.99,64.728,40.851
1.2213,79.389,195.59,70.585,44.661
1.2713,86.203,204.22,76.704,48.664
1.3213,93.302,212.91,83.087,52.862
1.3713,100.68,221.63,89.736,57.257
1.4213,108.35,230.39,96.655,61.849
1.4713,116.29,239.2,103.85,66.638
1.5213,124.52,248.04,111.32,71.623
1.5713,133.04,256.92,119.07,76.801
