z,x,y
0,0,0
3.8874e-4,0,3.8874e-4
0.002822,0,0.002822
0.0098353,0,0.0098353
0.023966,0,0.023966
0.047372,0,0.047372
0.081298,0,0.081298
0.12613,0,0.12613
0.18194,0,0.18194
0.24878,0,0.24878
0.3267,0,0.3267
0.41574,0,0.41574
0.5159,0,0.5159
0.62716,0,0.62716
0.74952,0,0.74952
0.88294,0,0.88294
1.0274,0,1.0274
1.1829,0,1.1829
1.3495,0,1.3495
1.527,0,1.527
1.7155,0,1.7155
1.915,0,1.915
2.1255,0,2.1255
2.3469,0,2.3469
2.5794,0,2.5794
2.8229,0,2.8229
3.0774,0,3.0774
3.3429,0,3.3429
3.6194,0,3.6194
3.907,0,3.907
4.2056,0,4.2056
4.5152,0,4.5152
4.8359,0,4.8359
5.1676,0,5.1676
5.6853,-2.2367e-7,5.6865
6.5061,-1.425e-6,6.5137
7.8374,-5.2903e-6,7.8648
10.031,-1.5945e-5,10.11
12.489,-3.3045e-5,12.648
15.214,-5.7224e-5,15.479
18.207,-8.9102e-5,18.605
21.47,-1.2935e-4,22.026
25.004,-1.7863e-4,25.744
28.812,-2.3769e-4,29.759
32.895,-3.073e-4,34.072
37.255,-3.883e-4,38.683
41.895,-4.8173e-4,43.593
46.817,-5.8884e-4,48.8
52.023,-7.1112e-4,54.306
57.516,-8.5013e-4,60.11
63.299,-0.0010076,66.213
69.374,-0.0011855,72.615
75.743,-0.001386,79.317
82.408,-0.0016118,86.321
89.371,-0.001866,93.626
96.631,-0.0021518,101.24
104.19,-0.0024725,109.16
112.04,-0.0028314,117.38
120.19,-0.0032315,125.93
128.64,-0.003675,134.79
137.38,-0.0041634,143.97
146.41,-0.0046964,153.48
155.73,-0.0052731,163.32
165.34,-0.005893,173.49
175.23,-0.0065564,184
185.42,-0.0072644,194.83
195.91,-0.0080189,205.99
206.69,-0.0088229,217.49
217.77,-0.0096813,229.31
229.16,-0.010598,241.45
240.84,-0.011575,253.92
252.83,-0.012614,266.72
265.12,-0.013714,279.85
277.7,-0.014878,293.32
290.58,-0.016104,307.12
303.74,-0.017391,321.27
