z,x,y
0,0,0
3.885e-4,0,3.885e-4
0.0028211,0,0.0028211
0.0098333,0,0.0098333
0.023963,0,0.023963
0.047367,0,0.047367
0.081291,0,0.081291
0.12613,0,0.12613
0.18193,0,0.18193
0.24877,0,0.24877
0.32668,0,0.32668
0.41571,0,0.41571
0.51586,0,0.51586
0.62712,0,0.62712
0.74946,0,0.74946
0.88287,0,0.88287
1.0273,0,1.0273
1.1828,0,1.1828
1.3493,0,1.3493
1.5268,0,1.5268
1.7153,0,1.7153
1.9148,0,1.9148
2.1252,0,2.1252
2.3466,0,2.3466
2.5791,0,2.5791
2.8225,0,2.8225
3.0769,0,3.0769
3.3424,0,3.3424
3.6188,0,3.6188
3.9063,0,3.9063
4.2048,0,4.2048
4.5144,0,4.5144
4.8349,0,4.8349
5.1666,0,5.1666
5.6841,1.4291e-4,5.6852
6.505,9.0576e-4,6.5119
7.8368,0.003345,7.8615
10.032,0.010045,10.103
12.493,0.020807,12.636
15.223,0.036058,15.459
18.222,0.05617,18.576
21.491,0.081398,21.986
25.033,0.11181,25.691
28.849,0.1472,29.692
32.939,0.18704,33.991
37.305,0.23035,38.588
41.949,0.27564,43.485
46.87,0.32083,48.684
52.07,0.36322,54.186
57.549,0.39941,59.993
63.307,0.42535,66.108
69.344,0.43644,72.534
75.659,0.42768,79.274
82.252,0.39389,86.332
89.121,0.32995,93.71
96.265,0.23121,101.41
103.68,0.093946,109.44
111.37,-0.084227,117.81
119.33,-0.30397,126.5
127.56,-0.564,135.54
136.06,-0.86108,144.91
144.83,-1.1903,154.62
153.87,-1.5456,164.67
163.19,-1.9208,175.07
172.8,-2.3104,185.8
182.68,-2.711,196.86
191.96,-3.086,207.27
202.22,-3.5021,218.78
212.94,-3.9435,230.82
223.93,-4.4104,243.21
235.21,-4.91,255.93
245.05,-5.3658,267.06
253.76,-5.7838,276.93
263.32,-6.2571,287.79
275.53,-6.8765,301.7
288.02,-7.5181,315.96
298.28,-8.0465,327.7
306.23,-8.4553,336.8
314.64,-8.8879,346.43
326.63,-9.5087,360.17
340.22,-10.226,375.78
348.8,-10.688,385.64
356.18,-11.093,394.14
364.61,-11.562,403.87
377.44,-12.283,418.69
391.09,-13.053,434.47
398.45,-13.469,443
406.55,-13.927,452.39
418.86,-14.625,466.65
434.07,-15.502,484.32
441.81,-15.956,493.32
451.21,-16.512,504.27
465.5,-17.363,520.93
476.1,-17.995,533.3
484.87,-18.518,543.54
497.42,-19.269,558.2
514.03,-20.274,577.65
524.43,-20.911,589.82
537.56,-21.722,605.24
554.77,-22.791,625.46
567.77,-23.6,640.74
583.7,-24.594,659.5
601.57,-25.717,680.56
617.04,-26.702,698.82
635.34,-27.875,720.46
653.88,-29.067,742.39
672.64,-30.277,764.63
691.64,-31.51,787.17
710.86,-32.768,810
730.3,-34.05,833.13
749.96,-35.351,856.55
769.82,-36.669,880.23
789.87,-38.005,904.17
810.1,-39.361,928.36
