z,x,y
0,0,0
3.8825e-4,0,3.8825e-4
0.0028201,0,0.0028201
0.0098309,0,0.0098309
0.023958,0,0.023958
0.047359,0,0.047359
0.081279,0,0.081279
0.12611,0,0.12611
0.18191,0,0.18191
0.24873,0,0.24873
0.32663,0,0.32663
0.41565,0,0.41565
0.51578,0,0.51578
0.62702,0,0.62702
0.74934,0,0.74934
0.88272,0,0.88272
1.0272,0,1.0272
1.1826,0,1.1826
1.3491,0,1.3491
1.5265,0,1.5265
1.715,0,1.715
1.9144,0,1.9144
2.1248,0,2.1248
2.3462,0,2.3462
2.5786,0,2.5786
2.822,0,2.822
3.0763,0,3.0763
3.3417,0,3.3417
3.6181,0,3.6181
3.9055,0,3.9055
4.204,0,4.204
4.5135,0,4.5135
4.834,0,4.834
5.1655,0,5.1655
5.683,-2.2365e-7,5.684
6.5041,-1.4257e-6,6.5101
7.8366,-5.2942e-6,7.8582
10.034,-1.5955e-5,10.096
12.5,-3.3063e-5,12.623
15.235,-5.7241e-5,15.439
18.241,-8.9155e-5,18.546
21.519,-1.2946e-4,21.945
25.071,-1.7881e-4,25.637
28.896,-2.3786e-4,29.625
32.996,-3.0739e-4,33.91
37.37,-3.8815e-4,38.494
42.018,-4.8096e-4,43.381
46.939,-5.8674e-4,48.573
52.131,-7.0663e-4,54.074
57.594,-8.4215e-4,59.889
63.324,-9.9506e-4,66.022
69.319,-0.0011674,72.478
75.575,-0.0013615,79.263
82.089,-0.0015794,86.383
88.858,-0.001824,93.843
95.878,-0.002098,101.65
103.15,-0.002405,109.8
110.67,-0.002748,118.31
118.43,-0.0031295,127.16
126.45,-0.0035514,136.38
134.72,-0.0040146,145.94
143.25,-0.0045192,155.86
152.04,-0.0050643,166.12
161.1,-0.0056487,176.73
170.44,-0.0062714,187.68
179.99,-0.0069286,198.9
189.87,-0.0076308,210.53
200.03,-0.0083748,222.51
210.45,-0.0091611,234.84
221.13,-0.0099908,247.53
232.08,-0.010868,260.58
240.97,-0.011605,271.24
250.63,-0.012431,282.84
262.25,-0.013458,296.86
274.13,-0.014543,311.23
285.25,-0.015581,324.7
293.39,-0.016353,334.57
302.51,-0.01723,345.64
315.28,-0.018482,361.16
328.3,-0.019792,377.05
336.22,-0.020608,386.74
344.17,-0.021443,396.48
356.09,-0.022723,411.12
369.89,-0.02424,428.1
377.92,-0.025136,438
385.93,-0.026038,447.87
398.09,-0.027422,462.88
412.65,-0.029109,480.89
420.73,-0.030064,490.91
430.51,-0.031239,503.06
445.39,-0.033061,521.57
455.92,-0.034368,534.69
465.63,-0.03558,546.8
480.38,-0.037438,565.21
496.28,-0.039471,585.1
508.4,-0.041053,600.29
524.7,-0.043224,620.77
540.84,-0.04541,641.07
557.62,-0.047716,662.2
574.62,-0.050088,683.65
591.39,-0.052462,704.85
608.83,-0.054982,726.94
626.49,-0.057582,749.34
644.37,-0.060241,772.05
662.46,-0.062963,795.07
680.77,-0.065763,818.41
699.28,-0.068647,842.04
718,-0.071606,865.97
736.91,-0.074638,890.19
756.01,-0.07774,914.68
775.28,-0.080924,939.42
794.71,-0.084197,964.41
814.28,-0.087536,989.62
834,-0.09093,1015
853.84,-0.094386,1040.6
873.78,-0.097929,1066.4
893.83,-0.10156,1092.4
913.97,-0.10524,1118.5
934.2,-0.10894,1144.8
954.5,-0.11268,1171.2
974.88,-0.11649,1197.7
995.32,-0.1204,1224.3
1015.8,-0.12438,1251.1
1036.4,-0.12839,1278
1057,-0.13243,1304.9
1077.7,-0.13653,1332
1098.4,-0.14072,1359.2
1119.2,-0.14496,1386.4
1139.9,-0.1492,1413.7
1160.7,-0.15345,1441
1181.4,-0.15776,1468.3
1202.1,-0.16214,1495.6
1222.8,-0.16657,1523
1243.5,-0.17103,1550.3
1264.1,-0.1755,1577.6
1284.7,-0.18,1604.9
1305.2,-0.18454,1632.2
1325.7,-0.18913,1659.4
1346.2,-0.19376,1686.6
1366.6,-0.1984,1713.7
1386.9,-0.20305,1740.8
1407.1,-0.20771,1767.8
1427.3,-0.21238,1794.8
1447.4,-0.21708,1821.6
1467.4,-0.22181,1848.4
1487.3,-0.22654,1875.2
1507.1,-0.23131,1901.8
1526.9,-0.23608,1928.3
1546.5,-0.24085,1954.8
1566.1,-0.24565,1981.1
1585.5,-0.25046,2007.3
1604.8,-0.25527,2033.4
1624.1,-0.26007,2059.5
1643.2,-0.26489,2085.3
1662.2,-0.26973,2111.1
1681.1,-0.2746,2136.7
1699.9,-0.27948,2162.2
1718.5,-0.28437,2187.6
1737,-0.28923,2212.8
1755.4,-0.29409,2237.9
1773.7,-0.29895,2262.8
1791.8,-0.30381,2287.6
1809.8,-0.30868,2312.2
1827.6,-0.31355,2336.7
1845.3,-0.31841,2361
1862.9,-0.32328,2385.1
1880.3,-0.32815,2409.1
1897.7,-0.33302,2433
1914.9,-0.33789,2456.7
1931.9,-0.34275,2480.3
1948.9,-0.34761,2503.8
1965.7,-0.35248,2527.1
1982.4,-0.35735,2550.2
1999,-0.36223,2573.3
2015.5,-0.3671,2596.2
2031.8,-0.37196,2618.9
2048,-0.37682,2641.6
2064.2,-0.38167,2664.1
2080.2,-0.38652,2686.5
2096.1,-0.39136,2708.7
2111.8,-0.3962,2730.8
2127.5,-0.40104,2752.8
2143.1,-0.40587,2774.7
2158.5,-0.4107,2796.5
2173.9,-0.41551,2818.1
2189.1,-0.42034,2839.7
2204.2,-0.42516,2861.1
2219.3,-0.42998,2882.4
2234.2,-0.43478,2903.6
2249,-0.43959,2924.7
2263.7,-0.4444,2945.6
2278.4,-0.44921,2966.5
2292.9,-0.454,2987.2
2307.3,-0.45879,3007.8
