# PML Intruder 38mm J270-11 (Up to date)
# 1029 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.0021388,0.430139,0.0001906,0.0001191,47.182778,17.988611
0.02,0.0102918,1.2095207,0.0009173,0.0005732,47.182778,17.988611
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.0263439,2.0186761,0.0023481,0.0014673,47.182778,17.988611
0.04,0.0509373,2.9271828,0.0045402,0.002837,47.182778,17.9886111
0.05,0.0850709,3.9372505,0.0075827,0.0047382,47.182778,17.9886111
0.06,0.1297553,5.0489701,0.0115655,0.007227,47.1827781,17.9886112
0.07,0.1858125,6.2243504,0.0165621,0.0103492,47.1827781,17.9886112
0.08,0.2535998,7.4079224,0.0226042,0.0141247,47.1827781,17.9886113
0.09,0.3331963,8.5991881,0.0296989,0.018558,47.1827782,17.9886114
0.1,0.4246784,9.7981198,0.037853,0.0236532,47.1827782,17.9886115
0.11,0.5281221,11.0046916,0.0470733,0.0294147,47.1827783,17.9886116
0.12,0.6435977,12.2177573,0.0573661,0.0358463,47.1827783,17.9886118
0.13,0.7711468,13.4326784,0.068735,0.0429504,47.1827784,17.9886119
0.14,0.9107852,14.6489294,0.0811814,0.0507278,47.1827785,17.9886121
0.15,1.0625259,15.8664855,0.0947066,0.0591793,47.1827785,17.9886123
0.16,1.2263819,17.0853228,0.1093116,0.0683055,47.1827786,17.9886124
0.17,1.4023658,18.3054202,0.1249977,0.0781072,47.1827787,17.9886127
0.18,1.5904901,19.5267595,0.1417659,0.0885851,47.1827788,17.9886129
0.19,1.7907669,20.7493242,0.1596172,0.0997399,47.1827789,17.9886131
0.2,2.0032084,21.9730987,0.1785529,0.1115722,47.182779,17.9886134
0.21,2.2278266,23.1980647,0.1985739,0.1240827,47.1827791,17.9886136
0.22,2.4646331,24.4242015,0.2196812,0.1372721,47.1827792,17.9886139
0.23,2.7136396,25.6514876,0.2418761,0.1511409,47.1827794,17.9886142
0.24,2.9748553,26.8794822,0.2651591,0.1656898,47.1827795,17.9886145
0.25,3.2482856,28.1078778,0.2895309,0.180919,47.1827796,17.9886148
0.26,3.5339346,29.3366661,0.3149918,0.1968287,47.1827798,17.9886152
0.27,3.8318061,30.565843,0.3415421,0.2134192,47.1827799,17.9886155
0.28,4.1419039,31.7953995,0.3691822,0.2306906,47.1827801,17.9886159
0.29,4.4642317,33.0253253,0.3979124,0.2486432,47.1827802,17.9886163
0.3,4.7987932,34.2556092,0.427733,0.2672772,47.1827804,17.9886167
0.31,5.1455918,35.486203,0.4586443,0.2865928,47.1827806,17.9886171
0.32,5.5046337,36.7177658,0.490647,0.3065903,47.1827808,17.9886175
0.33,5.8759337,37.9513177,0.5237422,0.3272705,47.1827809,17.9886179
# Event LAUNCHROD occurred at t=0.34 seconds
0.34,6.2595115,39.1868438,0.5579318,0.3486345,47.1827811,17.9886184
0.355,6.857908,41.0438994,0.6120536,0.3813372,47.1827814,17.9886191
0.3775,7.8074002,43.838697,0.7008485,0.4308831,47.1827819,17.9886203
0.3995547,8.7987246,46.5882843,0.7967533,0.4800319,47.1827823,17.9886215
0.4185964,9.7030412,48.9684121,0.8865288,0.5230287,47.1827827,17.9886227
0.4358122,10.5593663,51.1250889,0.9730892,0.5625262,47.1827831,17.9886239
0.4519328,11.3946296,53.1485089,1.0585931,0.6002471,47.1827834,17.988625
0.4674165,12.2273885,55.0953369,1.1445752,0.63735,47.1827837,17.9886261
0.482418,13.0627667,56.9844048,1.2312997,0.674302,47.1827841,17.9886273
0.497212,13.914164,58.8496435,1.3199167,0.7119222,47.1827844,17.9886285
0.5120836,14.7976722,60.7264959,1.4118433,0.7511769,47.1827848,17.9886297
0.5280401,15.7765069,62.7415743,1.5132628,0.7952928,47.1827852,17.988631
0.546608,16.9558146,65.0869261,1.6342726,0.8498845,47.1827856,17.9886326
0.5723127,18.659981,68.3319478,1.8056279,0.9327511,47.1827864,17.9886349
0.6108697,21.3719853,73.1868376,2.066499,1.0775268,47.1827877,17.9886383
0.6380156,23.3930938,76.5865143,2.2491458,1.1979927,47.1827888,17.9886408
0.6517937,24.4540542,78.3047749,2.3404371,1.266083,47.1827894,17.988642
0.6632443,25.353721,79.7295376,2.41524,1.3265762,47.1827899,17.988643
0.6737704,26.1950712,81.0372704,2.4829999,1.3854648,47.1827905,17.9886439
0.6836538,26.9975084,82.2637154,2.5456485,1.4437197,47.182791,17.9886447
0.6930627,27.772616,83.4302945,2.6043419,1.5019187,47.1827915,17.9886455
0.7021164,28.5287523,84.5522208,2.6598949,1.5605006,47.182792,17.9886462
0.7108839,29.2705899,85.6387076,2.7127881,1.6196856,47.1827926,17.9886469
0.7193685,29.997488,86.6906649,2.7630979,1.6792968,47.1827931,17.9886476
0.7276456,30.7151354,87.7176692,2.8113263,1.7396894,47.1827936,17.9886482
0.7357759,31.4282606,88.7274746,2.8578709,1.8011809,47.1827942,17.9886488
0.7438095,32.1408805,89.726486,2.9030521,1.8640599,47.1827948,17.9886494
0.7518171,32.8590873,90.7237069,2.9472916,1.9288314,47.1827953,17.98865
0.7598905,33.5912013,91.7309516,2.9911075,1.996246,47.182796,17.9886506
0.7681961,34.3527622,92.7693245,3.0353871,2.0677882,47.1827966,17.9886512
0.7768719,35.1573637,93.8564818,3.0808201,2.1448548,47.1827973,17.9886518
0.7861084,36.0242112,95.016868,3.1283292,2.2294747,47.1827981,17.9886524
0.796238,36.9870505,96.2930656,3.1795027,2.325248,47.1827989,17.9886531
0.8078796,38.1093901,97.764379,3.2372622,2.4390257,47.1827999,17.9886538
0.8222338,39.5165506,99.5848832,3.307203,2.5845285,47.1828012,17.9886548
0.8437215,41.6713218,102.3195396,3.4100725,2.8123586,47.1828033,17.9886561
0.8759531,45.0124004,106.424556,3.5630688,3.1739434,47.1828065,17.9886581
0.8917909,46.7020805,108.4394661,3.6389435,3.3590904,47.1828082,17.9886592
0.9028116,47.8964867,109.8399135,3.6924099,3.4904277,47.1828094,17.9886599
0.9122088,48.9270187,111.0327008,3.738565,3.6039029,47.1828104,17.9886605
0.9207929,49.8781029,112.1210742,3.7812477,3.7086848,47.1828114,17.988661
0.9288761,50.7821606,113.1448135,3.8219348,3.8082891,47.1828122,17.9886616
0.9366475,51.6590787,114.1279886,3.8615294,3.9048782,47.1828131,17.9886621
0.9442329,52.5223256,115.0866069,3.9006413,3.9999209,47.182814,17.9886626
0.9517507,53.3850047,116.0356652,3.9398622,4.0948542,47.1828148,17.9886631
0.9592792,54.2559999,116.985029,3.9795916,4.1906561,47.1828157,17.9886637
0.9669044,55.1454079,117.9455024,4.0202828,4.2884429,47.1828166,17.9886642
0.9747564,56.0688713,118.9333821,4.06264,4.3899481,47.1828175,17.9886648
