# PML Intruder 38 mm J425-13 (Up to date)
# 1049 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.0000285,0.0057252,-0.0000025,-0.0000016,47.182778,17.988611
0.02,0.0109311,2.1987083,0.0009743,0.0006088,47.182778,17.988611
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.047356,5.1271632,0.004221,0.0026376,47.182778,17.9886111
0.04,0.1119862,7.8706979,0.0099817,0.0062373,47.1827781,17.9886111
0.05,0.2033229,10.4978072,0.0181229,0.0113244,47.1827781,17.9886112
0.06,0.320277,13.0223497,0.0285474,0.0178384,47.1827782,17.9886114
0.07,0.4620153,15.4818754,0.041181,0.0257328,47.1827782,17.9886115
0.08,0.6280407,17.9065138,0.0559794,0.0349798,47.1827783,17.9886117
0.09,0.8181012,20.3153318,0.0729202,0.0455656,47.1827784,17.988612
0.1,1.0320402,22.7085295,0.0919893,0.0574813,47.1827785,17.9886122
0.11,1.2697557,25.0967957,0.1131777,0.0707213,47.1827786,17.9886125
0.12,1.5312243,27.4852943,0.1364833,0.0852842,47.1827788,17.9886128
0.13,1.8164479,29.8739624,0.1619063,0.1011703,47.1827789,17.9886131
0.14,2.1254251,32.2621882,0.1894465,0.1183793,47.1827791,17.9886135
0.15,2.4581349,34.6465927,0.219102,0.1369101,47.1827792,17.9886139
0.16,2.8145361,37.0265753,0.2508693,0.1567605,47.1827794,17.9886143
0.17,3.1945855,39.4022737,0.2847444,0.1779281,47.1827796,17.9886148
0.18,3.5982559,41.7767711,0.320725,0.2004112,47.1827798,17.9886152
0.19,4.0255404,44.1510947,0.3588103,0.2242096,47.18278,17.9886157
0.2,4.4764369,46.525178,0.3990002,0.249323,47.1827802,17.9886163
0.21,4.9509416,48.8987306,0.4412945,0.2757514,47.1827805,17.9886168
0.22,5.4490387,51.269637,0.4856916,0.3034938,47.1827807,17.9886174
# Event LAUNCHROD occurred at t=0.23 seconds
0.23,5.970699,53.6373216,0.532189,0.3325486,47.182781,17.988618
0.2431953,6.6950132,56.7569673,0.5975521,0.3722106,47.1827813,17.9886189
0.2549262,7.3732387,59.5262662,0.660069,0.4082341,47.1827817,17.9886197
0.2656755,8.0230287,62.0644569,0.7209735,0.4418913,47.182782,17.9886205
0.2757479,8.6564919,64.4444028,0.7811402,0.4740352,47.1827823,17.9886213
0.2853431,9.2820778,66.7129346,0.8411877,0.5052567,47.1827825,17.9886221
0.294615,9.907123,68.9053588,0.9016796,0.5360489,47.1827828,17.9886229
0.303696,10.5388533,71.0494671,0.9631999,0.5668743,47.1827831,17.9886237
0.3126995,11.1842625,73.1716599,1.0263284,0.5981712,47.1827834,17.9886246
0.3217345,11.8509973,75.2975187,1.091714,0.6304083,47.1827837,17.9886254
0.330944,12.5502383,77.4604449,1.1603435,0.6642381,47.182784,17.9886264
0.3405136,13.2977737,79.7038627,1.2336289,0.7005688,47.1827843,17.9886273
0.3507336,14.1196736,82.0948903,1.3139258,0.7408809,47.1827847,17.9886284
0.3621248,15.0643675,84.7533849,1.4056228,0.787918,47.1827851,17.9886296
0.3755439,16.2158476,87.8746757,1.5161773,0.8466082,47.1827856,17.9886311
0.3941738,17.8833488,92.1788122,1.6731347,0.9350007,47.1827864,17.9886331
0.4221185,20.5335094,98.5667051,1.9126651,1.0860036,47.1827878,17.9886363
0.4374189,22.0597467,102.0472466,2.0439698,1.1799507,47.1827886,17.988638
0.4467349,23.0149949,104.1621501,2.1233942,1.2416433,47.1827892,17.9886391
0.4544014,23.8158073,105.9001486,2.1882668,1.2951576,47.1827896,17.98864
0.4612179,24.5389729,107.4423987,2.2454808,1.3449201,47.1827901,17.9886407
0.4674891,25.2135088,108.8570211,2.2976668,1.3925771,47.1827905,17.9886414
0.473374,25.8545034,110.180931,2.3462004,1.4389771,47.1827909,17.988642
0.4789606,26.4701828,111.4347284,2.3918498,1.4845636,47.1827914,17.9886426
0.4843174,27.0670555,112.6342973,2.4352066,1.5297053,47.1827918,17.9886432
0.489499,27.650474,113.7923278,2.4767404,1.5747224,47.1827922,17.9886438
0.4945388,28.2236296,114.9164451,2.5167413,1.6197966,47.1827926,17.9886443
0.4994706,28.7899483,116.0143988,2.5554974,1.6651463,47.182793,17.9886448
0.5043167,29.3516624,117.0913942,2.5932,1.7109108,47.1827934,17.9886453
0.5090965,29.9107423,118.1519382,2.6300121,1.7572193,47.1827938,17.9886458
0.5138271,30.4690213,119.2011544,2.6660789,1.8041991,47.1827942,17.9886463
0.5185322,31.0291769,120.2449096,2.7015908,1.8520582,47.1827947,17.9886467
0.5232453,31.5951452,121.290706,2.7368049,1.9011263,47.1827951,17.9886472
0.5279953,32.1704911,122.3448211,2.7719402,1.9517171,47.1827956,17.9886477
0.5328203,32.7599996,123.4152653,2.8072754,2.0042675,47.182796,17.9886481
0.5377617,33.3690276,124.5112831,2.8431056,2.0592851,47.1827965,17.9886486
0.5428776,34.0051982,125.6458086,2.8798377,2.1175059,47.182797,17.9886491
0.5482361,34.6777013,126.8340307,2.9179403,2.1798405,47.1827976,17.9886496
0.5539448,35.4010738,128.0998342,2.9581473,2.2477376,47.1827982,17.9886501
0.5602207,36.2045825,129.4914478,3.0019412,2.3241068,47.1827989,17.9886507
0.5674302,37.1382789,131.0922906,3.0518008,2.4139864,47.1827997,17.9886514
0.5764077,38.3169435,133.0934979,3.1133703,2.5289767,47.1828007,17.9886522
0.589874,40.1183784,136.1103362,3.2051044,2.7074136,47.1828023,17.9886534
0.6100733,42.8959962,140.6350537,3.3428621,2.986924,47.1828049,17.9886552
0.6198418,44.2717139,142.8120475,3.4102419,3.1264883,47.1828061,17.9886561
0.6265548,45.2293458,144.3040383,3.4570509,3.2238283,47.182807,17.9886567
0.6321938,46.0414478,145.554659,3.4967629,3.3064159,47.1828077,17.9886573
0.6372377,46.7737787,146.6711145,3.5326272,3.3808797,47.1828084,17.9886577
0.6418934,47.4547094,147.6997577,3.5660447,3.4500797,47.182809,17.9886582
0.6462821,48.100953,148.667735,3.5978398,3.5157026,47.1828096,17.9886586
0.6504773,48.7226389,149.5914732,3.6285116,3.5787708,47.1828102,17.988659
0.6545375,49.3279785,150.4840326,3.6584639,3.6401151,47.1828107,17.9886594
0.6585827,49.9346634,151.3719299,3.6885702,3.7015283,47.1828113,17.9886598
0.6626396,50.5467008,152.2611991,3.7190296,3.763415,47.1828118,17.9886602
0.6667372,51.168508,153.1581534,3.7500616,3.8262218,47.1828124,17.9886606
0.6709109,51.8056261,154.0705101,3.7819421,3.8905091,47.182813,17.988661
0.6752032,52.4647758,155.0074232,3.8150061,3.9569571,47.1828136,17.9886615
0.6796775,53.1561528,155.9826349,3.8497628,4.026597,47.1828142,17.9886619
0.6844118,53.8924072,157.0128388,3.8868442,4.1007094,47.1828149,17.9886624
0.6895284,54.6935637,158.1242257,3.9272502,4.1813223,47.1828156,17.988663
0.6952437,55.59514,159.3626741,3.9727531,4.2720348,47.1828164,17.9886636
0.7019828,56.6672309,160.8186792,4.0268436,4.379959,47.1828174,17.9886643
0.7106744,58.0642964,162.6894676,4.0971783,4.5208081,47.1828187,17.9886652
0.7237119,60.1900525,165.4804693,4.2035288,4.7359199,47.1828206,17.9886666
0.743268,63.446169,169.6504828,4.3637224,5.0684405,47.1828236,17.9886687
0.7531095,65.1152769,171.7434216,4.4440782,5.2408163,47.1828251,17.9886698
0.7600468,66.3040734,173.2147988,4.5004419,5.3645312,47.1828262,17.9886705
0.7660201,67.3357443,174.4787649,4.5487303,5.4725736,47.1828272,17.9886712
0.7714735,68.2841472,175.6304787,4.5925917,5.5724717,47.1828281,17.9886718
0.776638,69.1880073,176.7192937,4.6339138,5.6682004,47.182829,17.9886723
0.7816408,70.0688495,177.7723955,4.6737331,5.7619838,47.1828298,17.9886728
0.786577,70.9430706,178.810054,4.7128177,5.85554,47.1828307,17.9886734
0.7915391,71.8269734,179.8517972,4.7519033,5.9506082,47.1828315,17.9886739
0.796619,72.7371378,180.9169095,4.7917109,6.0489875,47.1828324,17.9886744
0.8019326,73.6948973,182.0296671,4.8331404,6.1530239,47.1828333,17.988675
0.8075472,74.713249,183.2038984,4.8766995,6.2641936,47.1828343,17.9886755
0.8134671,75.7940112,184.4403098,4.9224048,6.3827678,47.1828354,17.9886761
0.8199318,76.9824821,185.7886131,4.9720891,6.513816,47.1828366,17.9886768
0.8274405,78.3736795,187.3509957,5.0295609,6.6680118,47.182838,17.9886776
0.8372062,80.2003759,189.3764822,5.1040716,6.8715985,47.1828398,17.9886785
0.8518549,82.9770061,192.4002962,5.2158033,7.1829305,47.1828426,17.98868
0.8738278,87.2238416,196.8982967,5.385046,7.6614778,47.1828469,17.9886823
0.8798492,88.404701,198.1207729,5.4320938,7.7946852,47.1828481,17.9886829
0.8850789,89.4362266,199.1794544,5.4732623,7.9110177,47.1828491,17.9886834
0.8898913,90.3902875,200.1509878,5.5114159,8.0185691,47.1828501,17.9886839
0.8944869,91.3057141,201.0771141,5.5481032,8.1217135,47.182851,17.9886844
0.8989743,92.2036549,201.9799257,5.5841681,8.2228336,47.1828519,17.9886849
0.903458,93.1048878,202.8805124,5.6204425,8.3242702,47.1828529,17.9886854
0.9080192,94.0257933,203.7950954,5.6575837,8.4278685,47.1828538,17.9886859
0.9127584,94.9870335,204.7436974,5.6964226,8.5359569,47.1828548,17.9886864
0.9178283,96.0202744,205.7565437,5.7382346,8.6521034,47.1828558,17.9886869
0.9234898,97.1801153,206.8851675,5.7852193,8.7824626,47.182857,17.9886875
0.9302578,98.5749564,208.2309163,5.8417379,8.9392636,47.1828584,17.9886883
0.9396875,100.5333644,210.0992802,5.9209708,9.1596202,47.1828604,17.9886893
0.953832,103.5036031,212.8863115,6.0403815,9.4947759,47.1828634,17.9886909
0.9686484,106.656586,215.7819256,6.1653788,9.8525926,47.1828666,17.9886926
0.9751652,108.0567674,217.0471569,6.2201225,10.0123612,47.182868,17.9886933
0.9807661,109.266661,218.1308886,6.2670011,10.1508974,47.1828693,17.9886939
0.9859576,110.3934476,219.1323723,6.3102929,10.2803324,47.1828705,17.9886945
0.9909659,111.4853265,220.0962098,6.3519038,10.4061427,47.1828716,17.988695
0.995993,112.5861081,221.062229,6.3935202,10.533359,47.1828727,17.9886956
1.0011918,113.7294968,222.0598276,6.4364047,10.665892,47.1828739,17.9886962
1.0067376,114.9548503,223.1225281,6.4819958,10.8083503,47.1828752,17.9886968
1.0128139,116.3040938,224.2852108,6.5317875,10.9656888,47.1828766,17.9886974
1.0199884,117.9061595,225.6556111,6.5904122,11.1530977,47.1828783,17.9886982
1.0299839,120.1543007,227.5561921,6.6719334,11.4169908,47.1828807,17.9886993
1.0449772,123.5615915,230.3857396,6.7943882,11.8183797,47.1828843,17.9887009
1.059386,126.8754701,233.0794811,6.9129665,12.2096205,47.1828878,17.9887025
1.0660249,128.4152778,234.3124505,6.9680804,12.3914942,47.1828894,17.9887032
1.0717785,129.7563058,235.3770112,7.0161376,12.5498764,47.1828909,17.9887038
1.077189,131.022904,236.3745149,7.06159,12.6994422,47.1828922,17.9887044
1.0825555,132.284475,237.3609704,7.1069233,12.8483864,47.1828935,17.988705
1.0881244,133.5991863,238.3825127,7.1542223,13.003583,47.1828949,17.9887057
1.0942412,135.0497529,239.5020145,7.2064522,13.1748134,47.1828965,17.9887064
1.1015905,136.801565,240.8434118,7.2695368,13.3816523,47.1828983,17.9887072
1.1123535,139.3846793,242.8002703,7.3624023,13.6869147,47.1829011,17.9887084
1.1284981,143.2982671,245.7124692,7.5021426,14.1506497,47.1829053,17.9887103
1.1390731,145.8868076,247.6012432,7.5935413,14.4586141,47.182908,17.9887115
1.1459608,147.5833578,248.8239185,7.6528882,14.6611117,47.1829099,17.9887123
1.1521202,149.1075313,249.9133294,7.7058049,14.8435048,47.1829115,17.988713
1.1582238,150.6244174,250.9902392,7.758095,15.0254661,47.1829131,17.9887137
1.1648517,152.2789584,252.1568847,7.8147306,15.2244165,47.1829149,17.9887144
1.1728427,154.2838835,253.5597685,7.8828647,15.4661003,47.1829171,17.9887153
1.1848292,157.3119897,255.6556878,7.9849681,15.832139,47.1829204,17.9887167
1.2028089,161.9004123,258.75917,8.1386689,16.3882517,47.1829254,17.9887187
1.2119263,164.2481619,260.3105238,8.2171583,16.6731363,47.1829279,17.9887197
1.2197292,166.268527,261.6274725,8.2846984,16.918388,47.1829302,17.9887206
1.2276398,168.3271797,262.9575137,8.3535121,17.1683728,47.1829324,17.9887215
