# PML Intruder 38mm J425-13 SW (Up to date)
# 1046 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.0000285,0.0057239,-0.0000025,-0.0000016,47.182778,17.988611
0.02,0.0109311,2.1987106,0.0009743,0.0006088,47.182778,17.988611
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.0473561,5.1271853,0.004221,0.0026376,47.182778,17.9886111
0.04,0.1119867,7.8707604,0.0099818,0.0062373,47.1827781,17.9886111
0.05,0.2033243,10.4979313,0.018123,0.0113245,47.1827781,17.9886112
0.06,0.3202801,13.0225586,0.0285477,0.0178386,47.1827782,17.9886114
0.07,0.4620209,15.4821981,0.0411815,0.0257331,47.1827782,17.9886115
0.08,0.6280503,17.9069943,0.0559803,0.0349804,47.1827783,17.9886117
0.09,0.8181166,20.3160324,0.0729216,0.0455664,47.1827784,17.988612
0.1,1.0320641,22.709532,0.0919914,0.0574826,47.1827785,17.9886122
0.11,1.2697914,25.0981964,0.1131809,0.0707233,47.1827786,17.9886125
0.12,1.5312763,27.4871912,0.1364879,0.0852871,47.1827788,17.9886128
0.13,1.8165217,29.8764658,0.1619128,0.1011744,47.1827789,17.9886131
0.14,2.1255274,32.2654245,0.1894556,0.118385,47.1827791,17.9886135
0.15,2.4582735,34.6506874,0.2191144,0.1369179,47.1827792,17.9886139
0.16,2.8147202,37.0316497,0.2508857,0.1567708,47.1827794,17.9886143
0.17,3.1948255,39.408463,0.2847658,0.1779414,47.1827796,17.9886148
0.18,3.5985636,41.7842298,0.3207524,0.2004283,47.1827798,17.9886152
0.19,4.0259291,44.1599459,0.3588449,0.2242312,47.18278,17.9886157
0.2,4.476921,46.5355391,0.3990434,0.24935,47.1827802,17.9886163
0.21,4.9515368,48.910738,0.4413475,0.2757846,47.1827805,17.9886168
0.22,5.4497622,51.2834492,0.4857561,0.3035341,47.1827807,17.9886174
# Event LAUNCHROD occurred at t=0.23 seconds
0.23,5.9715695,53.6530977,0.5322666,0.3325971,47.182781,17.988618
0.2441279,6.7488061,56.9959979,0.6022298,0.3765401,47.1827814,17.988619
0.2570136,7.4984667,60.040429,0.6708553,0.420015,47.1827818,17.9886199
0.26913,8.2388237,62.904317,0.7395201,0.4637982,47.1827822,17.9886208
0.2808019,8.9845401,65.6650243,0.8093797,0.5085588,47.1827826,17.9886217
0.2922852,9.7493978,68.3825214,0.8815682,0.5549707,47.182783,17.9886227
0.3038268,10.5492984,71.1098053,0.9574469,0.6038602,47.1827834,17.9886237
0.3155549,11.3941022,73.8748619,1.0378159,0.6556941,47.1827839,17.9886247
0.3273856,12.2788917,76.6573328,1.1220577,0.7100201,47.1827844,17.9886258
0.3396262,13.2287435,79.5293597,1.2123619,0.7681779,47.1827849,17.988627
0.3527229,14.2837345,82.5945091,1.3122401,0.8323179,47.1827855,17.9886284
0.3676986,15.5390365,86.0886194,1.4301159,0.9076281,47.1827862,17.9886299
0.3883204,17.3528838,90.8727407,1.597703,1.0136363,47.1827871,17.9886321
0.4192532,20.2577631,97.9713534,1.8568098,1.1739558,47.1827886,17.9886356
0.4402243,22.3522938,102.7604644,2.0349347,1.2807203,47.1827895,17.9886379
0.4517568,23.547182,105.3908838,2.1329122,1.3379357,47.18279,17.9886392
0.4611885,24.547101,107.5389212,2.2127859,1.3836676,47.1827904,17.9886403
0.4694064,25.4349609,109.4042844,2.2820679,1.4226099,47.1827908,17.9886412
0.47688,26.2558051,111.0955403,2.3447447,1.4572161,47.1827911,17.988642
0.4838561,27.0335032,112.6699695,2.4029143,1.4887719,47.1827914,17.9886428
0.4904728,27.7813599,114.1596449,2.4577522,1.5179996,47.1827917,17.9886435
0.4968241,28.508553,115.5860621,2.5100588,1.545387,47.1827919,17.9886442
0.5029958,29.2239344,116.9689174,2.56056,1.5713576,47.1827921,17.9886449
0.5090812,29.9377342,118.3296268,2.6100325,1.5963377,47.1827924,17.9886455
0.5151756,30.6609475,119.6914371,2.6592571,1.6207306,47.1827926,17.9886462
0.5213416,31.40117,121.0693983,2.7087399,1.6447806,47.1827928,17.9886468
0.5276521,32.1675998,122.4796942,2.7590615,1.6687509,47.182793,17.9886475
0.5342039,32.9728248,123.9429356,2.8109858,1.6929702,47.1827932,17.9886482
0.5411491,33.8369246,125.4928744,2.8657012,1.7179329,47.1827934,17.9886489
0.5487033,34.789073,127.1774474,2.9248822,1.7443034,47.1827937,17.9886497
0.5572895,35.8868361,129.0905217,2.99181,1.7733696,47.1827939,17.9886506
0.56735,37.1940769,131.3317313,3.0698999,1.8063283,47.1827942,17.9886516
0.5805273,38.9406167,134.2789351,3.1719331,1.8479917,47.1827946,17.988653
0.6002932,41.6335913,138.7168853,3.3253923,1.9082191,47.1827952,17.988655
0.6299422,45.8370002,145.328251,3.5597987,1.996796,47.182796,17.9886581
0.638113,47.0297478,147.1367618,3.6258968,2.0214572,47.1827962,17.988659
0.6451611,48.0704488,148.6930958,3.6835759,2.0429644,47.1827964,17.9886597
0.6515986,49.0305533,150.1109987,3.7368354,2.0628402,47.1827966,17.9886604
0.6576816,49.9461349,151.4475923,3.7876905,2.0818489,47.1827967,17.9886611
0.6636074,50.8458471,152.7469313,3.8377374,2.1005919,47.1827969,17.9886618
0.6694829,51.7454933,154.0326795,3.8878567,2.1194005,47.1827971,17.9886624
0.6754009,52.6592661,155.3251409,3.938837,2.1385702,47.1827972,17.9886631
0.6814654,53.6035654,156.646854,3.9915881,2.1584396,47.1827974,17.9886638
0.6878418,54.6050352,158.0334852,4.0475882,2.1795586,47.1827976,17.9886646
0.6947625,55.7019773,159.5343528,4.1089593,2.2027131,47.1827978,17.9886654
0.7026298,56.9615219,161.2347323,4.1794112,2.2292713,47.182798,17.9886663
0.7122381,58.5178796,163.3028913,4.2663335,2.2619384,47.1827983,17.9886675
0.725843,60.7554979,166.2160815,4.3907683,2.3083346,47.1827988,17.9886691
0.7462505,64.1861653,170.5734097,4.5793671,2.3772023,47.1827994,17.9886716
0.7626763,67.0120815,174.0688807,4.7318218,2.430946,47.1827999,17.9886736
0.7716265,68.5760652,175.9656241,4.8148271,2.4592831,47.1828001,17.9886747
0.7792893,69.928602,177.5853349,4.885765,2.4829206,47.1828003,17.9886756
0.7863943,71.1937822,179.0837822,4.951398,2.504288,47.1828005,17.9886765
0.7933017,72.4340089,180.5375702,5.0150614,2.5245393,47.1828007,17.9886774
0.8002671,73.6948341,182.0006347,5.0791142,2.5444387,47.1828009,17.9886782
0.8075584,75.0255995,183.5291239,5.1460203,2.5647198,47.1828011,17.9886791
0.8152848,76.4479613,185.1455374,5.216782,2.585622,47.1828013,17.98868
0.8240272,78.0724231,186.9699911,5.2967303,2.608595,47.1828015,17.9886811
0.8351,80.1528032,189.2714574,5.397942,2.6367936,47.1828017,17.9886824
0.8517093,83.3210597,192.7035828,5.5501194,2.6776831,47.1828021,17.9886844
0.8766231,88.1797708,197.8007315,5.7807897,2.7374972,47.1828026,17.9886875
0.8867602,90.1928956,199.8534527,5.8759144,2.7617754,47.1828028,17.9886887
0.8953822,91.9214893,201.5919089,5.9575171,2.7825232,47.182803,17.9886898
0.9036013,93.5832113,203.2440426,6.0359213,2.8024097,47.1828032,17.9886909
0.9120157,95.2984516,204.9301514,6.1168036,2.8228733,47.1828034,17.9886919
0.9212943,97.2062818,206.7830582,6.2066745,2.8455228,47.1828036,17.9886931
0.9330353,99.6449686,209.1177708,6.3212934,2.8741876,47.1828038,17.9886946
0.9506467,103.3542223,212.5982068,6.494629,2.9167216,47.1828042,17.9886969
0.9770639,109.032443,217.7626212,6.7561095,2.9777944,47.1828048,17.9887004
