# TRA L2 Launch @ Várpalota (Up to date)
# 1175 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0,0.038,-0,-0,47.183,17.989
0.02,0.007,1.346,0.001,0,47.183,17.989
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.034,4.066,0.003,0.002,47.183,17.989
0.04,0.088,6.879,0.008,0.005,47.183,17.989
0.05,0.171,9.786,0.015,0.01,47.183,17.989
0.06,0.283,12.787,0.025,0.016,47.183,17.989
0.07,0.425,15.842,0.038,0.024,47.183,17.989
0.08,0.598,18.912,0.053,0.033,47.183,17.989
0.09,0.802,21.996,0.071,0.045,47.183,17.989
0.1,1.036,25.095,0.092,0.058,47.183,17.989
0.11,1.301,28.196,0.116,0.072,47.183,17.989
0.12,1.597,31.284,0.142,0.089,47.183,17.989
0.13,1.923,34.361,0.171,0.107,47.183,17.989
0.14,2.28,37.426,0.203,0.127,47.183,17.989
0.15,2.667,40.478,0.238,0.149,47.183,17.989
0.16,3.085,43.518,0.275,0.172,47.183,17.989
0.17,3.533,46.546,0.315,0.197,47.183,17.989
0.18,4.011,49.561,0.357,0.223,47.183,17.989
0.19,4.519,52.564,0.403,0.252,47.183,17.989
0.2,5.056,55.554,0.451,0.282,47.183,17.989
0.21,5.624,58.535,0.501,0.313,47.183,17.989
# Event LAUNCHROD occurred at t=0.22 seconds
0.22,6.221,61.511,0.554,0.346,47.183,17.989
0.235,7.147,65.86,0.638,0.398,47.183,17.989
0.248,8.033,69.753,0.719,0.445,47.183,17.989
0.26,8.898,73.355,0.798,0.491,47.183,17.989
0.271,9.754,76.743,0.878,0.536,47.183,17.989
0.282,10.612,79.992,0.958,0.581,47.183,17.989
0.293,11.486,83.162,1.041,0.627,47.183,17.989
0.304,12.391,86.319,1.126,0.674,47.183,17.989
0.315,13.356,89.557,1.217,0.724,47.183,17.989
0.327,14.444,93.063,1.319,0.781,47.183,17.989
0.341,15.761,97.126,1.442,0.85,47.183,17.989
0.36,17.651,102.658,1.617,0.953,47.183,17.989
0.388,20.682,110.903,1.889,1.126,47.183,17.989
0.414,23.566,118.153,2.136,1.303,47.183,17.989
0.425,24.859,121.246,2.243,1.386,47.183,17.989
0.434,25.946,123.779,2.331,1.458,47.183,17.989
0.441,26.927,126.015,2.409,1.525,47.183,17.989
0.449,27.841,128.06,2.48,1.589,47.183,17.989
0.455,28.712,129.976,2.546,1.651,47.183,17.989
0.462,29.553,131.795,2.61,1.712,47.183,17.989
0.468,30.373,133.541,2.67,1.772,47.183,17.989
0.474,31.181,135.238,2.729,1.833,47.183,17.989
0.48,31.986,136.905,2.786,1.894,47.183,17.989
0.486,32.795,138.558,2.843,1.957,47.183,17.989
0.492,33.618,140.219,2.901,2.021,47.183,17.989
0.498,34.465,141.905,2.959,2.089,47.183,17.989
0.504,35.352,143.648,3.018,2.16,47.183,17.989
0.511,36.303,145.493,3.082,2.238,47.183,17.989
0.518,37.357,147.507,3.151,2.325,47.183,17.989
0.526,38.586,149.818,3.23,2.429,47.183,17.989
0.537,40.161,152.725,3.33,2.563,47.183,17.989
0.553,42.58,157.074,3.481,2.771,47.183,17.989
0.576,46.336,163.568,3.712,3.1,47.183,17.989
0.586,47.922,166.221,3.808,3.24,47.183,17.989
0.593,49.151,168.244,3.883,3.348,47.183,17.989
0.6,50.234,170.001,3.95,3.443,47.183,17.989
0.606,51.236,171.61,4.011,3.532,47.183,17.989
0.611,52.19,173.124,4.07,3.616,47.183,17.989
0.616,53.115,174.579,4.126,3.697,47.183,17.989
0.622,54.029,176.002,4.183,3.777,47.183,17.989
0.627,54.946,177.418,4.239,3.858,47.183,17.989
0.632,55.882,178.849,4.297,3.94,47.183,17.989
0.638,56.857,180.326,4.357,4.026,47.183,17.989
0.643,57.894,181.882,4.422,4.117,47.183,17.989
0.65,59.033,183.572,4.492,4.216,47.183,17.989
0.657,60.351,185.507,4.574,4.332,47.183,17.989
0.666,62.06,187.98,4.68,4.482,47.183,17.989
0.68,64.667,191.676,4.841,4.712,47.183,17.989
0.701,68.671,197.189,5.085,5.068,47.183,17.989
0.708,70.188,199.227,5.176,5.204,47.183,17.989
0.714,71.409,200.848,5.248,5.315,47.183,17.989
0.72,72.501,202.286,5.313,5.414,47.183,17.989
0.725,73.527,203.623,5.373,5.508,47.183,17.989
0.73,74.516,204.903,5.431,5.599,47.183,17.989
0.735,75.494,206.159,5.487,5.689,47.183,17.989
0.739,76.48,207.415,5.544,5.781,47.183,17.989
0.744,77.496,208.701,5.602,5.876,47.183,17.989
0.75,78.569,210.048,5.663,5.976,47.183,17.989
0.755,79.742,211.509,5.729,6.087,47.183,17.989
0.762,81.167,213.268,5.808,6.221,47.183,17.989
0.772,83.222,215.774,5.922,6.416,47.183,17.989
0.786,86.35,219.522,6.095,6.715,47.183,17.989
0.798,88.977,222.61,6.239,6.966,47.183,17.989
0.804,90.342,224.191,6.315,7.097,47.183,17.989
0.809,91.51,225.534,6.379,7.209,47.183,17.989
0.814,92.593,226.768,6.439,7.312,47.183,17.989
0.819,93.631,227.942,6.496,7.412,47.183,17.989
0.823,94.654,229.092,6.553,7.509,47.183,17.989
0.828,95.688,230.245,6.61,7.608,47.183,17.989
0.832,96.761,231.433,6.669,7.71,47.183,17.989
0.837,97.907,232.694,6.733,7.82,47.183,17.989
0.843,99.188,234.09,6.804,7.942,47.183,17.989
0.85,100.728,235.754,6.89,8.089,47.183,17.989
0.859,102.894,238.065,7.01,8.296,47.183,17.989
0.873,106.183,241.51,7.192,8.611,47.183,17.989
0.881,108.335,243.723,7.31,8.818,47.183,17.989
0.887,109.668,245.078,7.383,8.947,47.183,17.989
0.892,110.802,246.222,7.444,9.057,47.183,17.989
0.896,111.843,247.265,7.5,9.159,47.183,17.989
0.9,112.834,248.251,7.554,9.255,47.183,17.989
0.904,113.807,249.214,7.606,9.351,47.183,17.989
0.908,114.809,250.2,7.659,9.449,47.183,17.989
0.912,115.876,251.244,7.715,9.554,47.183,17.989
0.917,117.05,252.384,7.777,9.67,47.183,17.989
0.922,118.423,253.71,7.849,9.806,47.183,17.989
0.929,120.237,255.445,7.944,9.986,47.183,17.989
0.94,122.981,258.037,8.086,10.26,47.183,17.989
0.956,127.148,261.9,8.302,10.676,47.183,17.989
0.962,128.645,263.266,8.38,10.825,47.183,17.989
0.967,129.933,264.431,8.446,10.954,47.183,17.989
0.971,131.13,265.507,8.509,11.073,47.183,17.989
0.976,132.301,266.553,8.57,11.19,47.183,17.989
0.98,133.489,267.607,8.631,11.308,47.183,17.989
0.985,134.733,268.703,8.696,11.432,47.183,17.989
0.99,136.108,269.905,8.768,11.569,47.183,17.989
0.996,137.748,271.328,8.854,11.733,47.183,17.989
1.005,140.041,273.296,8.974,11.961,47.183,17.989
1.017,143.512,276.222,9.155,12.308,47.183,17.989
1.029,146.785,278.926,9.324,12.636,47.183,17.989
1.035,148.397,280.237,9.407,12.798,47.183,17.989
1.04,149.808,281.376,9.479,12.941,47.183,17.989
1.045,151.153,282.451,9.548,13.076,47.183,17.989
1.05,152.504,283.525,9.617,13.213,47.183,17.989
1.055,153.931,284.649,9.689,13.358,47.183,17.989
1.061,155.616,285.966,9.774,13.53,47.183,17.989
1.069,157.945,287.766,9.891,13.767,47.183,17.989
1.081,161.466,290.445,10.068,14.127,47.183,17.989
1.094,165.047,293.118,10.247,14.493,47.183,17.989
1.099,166.736,294.361,10.332,14.666,47.183,17.989
1.105,168.236,295.455,10.407,14.819,47.183,17.989
1.11,169.739,296.542,10.482,14.973,47.183,17.989
1.115,171.361,297.705,10.564,15.139,47.183,17.989
1.122,173.291,299.076,10.661,15.336,47.183,17.989
1.131,176.115,301.055,10.803,15.625,47.183,17.989
1.145,180.385,303.989,11.017,16.063,47.183,17.989
1.154,183.105,305.822,11.153,16.343,47.183,17.989
1.16,184.991,307.078,11.246,16.537,47.183,17.989
1.166,186.751,308.239,11.333,16.719,47.183,17.989
1.172,188.57,309.427,11.423,16.907,47.183,17.989
1.179,190.654,310.776,11.525,17.123,47.183,17.989
1.188,193.568,312.639,11.668,17.426,47.183,17.989
1.202,197.972,315.403,11.883,17.884,47.183,17.989
1.213,201.387,317.506,12.05,18.24,47.183,17.989
1.22,203.57,318.831,12.156,18.467,47.183,17.989
1.227,205.648,320.079,12.258,18.684,47.183,17.989
1.234,207.951,321.447,12.37,18.924,47.183,17.989
1.244,211.085,323.282,12.524,19.25,47.183,17.989
1.258,215.819,326,12.755,19.744,47.183,17.989
1.27,219.695,328.176,12.943,20.15,47.183,17.989
1.278,222.207,329.564,13.064,20.413,47.183,17.989
1.286,224.745,330.949,13.187,20.68,47.183,17.989
1.296,228.023,332.713,13.344,21.025,47.183,17.989
1.311,232.973,335.326,13.581,21.547,47.183,17.989
1.327,238.592,338.206,13.851,22.14,47.183,17.989
1.337,241.96,339.85,14.012,22.496,47.183,17.989
1.35,246.365,341.902,14.223,22.962,47.183,17.989
1.37,253.021,344.789,14.541,23.666,47.183,17.989
1.385,258.034,346.797,14.779,24.198,47.183,17.989
1.399,263.124,348.707,15.021,24.74,47.183,17.989
1.421,270.81,351.354,15.385,25.558,47.183,17.989
1.434,275.235,352.742,15.594,26.03,47.183,17.989
1.448,280.205,354.201,15.83,26.56,47.183,17.989
1.469,287.697,356.198,16.184,27.36,47.183,17.989
1.482,292.141,357.262,16.394,27.835,47.183,17.989
1.496,297.189,358.376,16.631,28.376,47.183,17.989
1.518,304.789,359.868,16.989,29.191,47.183,17.989
1.528,308.553,360.517,17.166,29.595,47.183,17.989
1.539,312.582,361.155,17.356,30.027,47.183,17.989
1.556,318.637,361.998,17.641,30.677,47.183,17.989
1.567,322.611,362.433,17.828,31.104,47.183,17.989
1.574,325.008,362.65,17.94,31.362,47.183,17.989
1.581,327.469,362.839,18.056,31.627,47.183,17.989
1.59,330.731,363.037,18.208,31.978,47.183,17.989
1.603,335.626,363.22,18.437,32.506,47.183,17.989
1.614,339.437,363.262,18.616,32.917,47.183,17.989
1.621,341.871,363.245,18.73,33.18,47.183,17.989
1.628,344.406,363.193,18.849,33.453,47.183,17.989
1.637,347.809,363.066,19.009,33.819,47.183,17.989
1.651,352.909,362.755,19.25,34.369,47.183,17.989
1.662,356.773,362.415,19.431,34.785,47.183,17.989
1.673,360.63,361.995,19.613,35.201,47.183,17.989
1.689,366.406,361.217,19.884,35.825,47.183,17.989
1.709,373.579,360.016,20.223,36.599,47.183,17.989
1.734,382.574,358.464,20.648,37.569,47.183,17.989
1.75,388.125,357.515,20.91,38.169,47.183,17.989
1.77,395.474,356.273,21.258,38.962,47.183,17.989
1.801,406.451,354.451,21.778,40.148,47.183,17.989
1.848,422.811,351.798,22.556,41.915,47.183,17.989
1.866,429.107,350.791,22.857,42.595,47.183,17.989
1.882,434.511,349.914,23.115,43.179,47.183,17.989
1.905,442.591,348.461,23.502,44.051,47.183,17.989
1.921,448.066,347.364,23.765,44.643,47.183,17.989
1.938,453.938,346.1,24.046,45.278,47.183,17.989
1.963,462.704,344.042,24.467,46.225,47.183,17.989
1.985,469.966,342.168,24.817,47.01,47.183,17.989
2.017,480.78,339.133,25.34,48.178,47.183,17.989
2.047,490.894,336.01,25.83,49.27,47.183,17.989
2.092,505.878,330.835,26.56,50.887,47.183,17.989
# Event BURNOUT occurred at t=2.1 seconds
2.1,508.442,329.88,26.686,51.164,47.183,17.989
2.112,512.273,328.442,26.873,51.577,47.183,17.989
2.129,517.989,326.31,27.153,52.194,47.183,17.989
2.156,526.493,323.172,27.572,53.11,47.183,17.989
2.191,537.605,319.127,28.122,54.306,47.183,17.989
2.241,553.31,313.511,28.904,55.996,47.183,17.989
2.271,562.613,310.242,29.37,56.995,47.183,17.989
2.304,572.995,306.64,29.892,58.11,47.183,17.989
2.352,587.484,301.697,30.625,59.665,47.183,17.989
2.402,602.34,296.732,31.382,61.258,47.183,17.989
2.452,616.953,291.948,32.132,62.822,47.183,17.989
2.502,631.334,287.333,32.876,64.36,47.183,17.989
2.552,645.489,282.875,33.613,65.872,47.183,17.989
2.602,659.426,278.566,34.345,67.36,47.183,17.989
2.652,673.153,274.399,35.072,68.822,47.183,17.989
2.702,686.675,270.359,35.792,70.263,47.183,17.989
2.752,700.001,266.45,36.508,71.679,47.183,17.989
2.802,713.135,262.654,37.219,73.074,47.183,17.989
2.852,726.084,258.974,37.926,74.448,47.183,17.989
2.902,738.852,255.4,38.628,75.801,47.183,17.989
2.952,751.445,251.929,39.325,77.135,47.183,17.989
3.002,763.868,248.555,40.017,78.449,47.183,17.989
3.052,776.126,245.273,40.706,79.745,47.183,17.989
3.102,788.223,242.078,41.392,81.021,47.184,17.989
3.152,800.163,238.965,42.073,82.281,47.184,17.989
3.202,811.95,235.928,42.75,83.524,47.184,17.989
3.244,821.529,233.491,43.303,84.534,47.184,17.989
3.278,829.545,231.472,43.769,85.378,47.184,17.989
3.328,840.965,228.621,44.436,86.581,47.184,17.989
3.361,848.266,226.816,44.864,87.35,47.184,17.989
3.409,859.111,224.163,45.505,88.491,47.184,17.989
3.443,866.562,222.356,45.948,89.274,47.184,17.989
3.48,874.697,220.396,46.433,90.13,47.184,17.989
3.5,879.062,219.351,46.694,90.59,47.184,17.989
3.53,885.571,217.804,47.083,91.276,47.184,17.989
3.545,888.922,217.012,47.285,91.629,47.184,17.989
3.557,891.516,216.401,47.442,91.901,47.184,17.989
3.571,894.396,215.724,47.616,92.204,47.184,17.989
3.591,898.701,214.715,47.878,92.655,47.184,17.989
3.621,905.12,213.214,48.269,93.329,47.184,17.989
3.635,908.157,212.507,48.455,93.648,47.184,17.989
3.65,911.236,211.792,48.642,93.973,47.184,17.989
3.671,915.555,210.794,48.906,94.428,47.184,17.989
3.701,921.995,209.316,49.3,95.106,47.184,17.989
3.719,925.55,208.504,49.519,95.48,47.184,17.989
3.736,929.165,207.681,49.742,95.859,47.184,17.989
3.762,934.56,206.457,50.077,96.426,47.184,17.989
