t,a,v,e,n
0,0,0,0,0
0.01,3.89E-04,0.10997,0,3.89E-04
0.02,0.0028233,0.57864,0,0.0028233
0.03,0.0098409,1.4063,0,0.0098409
0.04,0.023981,2.5932,0,0.023981
0.05,0.047404,4.0319,0,0.047404
0.06,0.081355,5.571,0,0.081355
0.07,0.12622,7.1203,0,0.12622
0.08,0.18208,8.6772,0,0.18208
0.09,0.24896,10.242,0,0.24896
0.1,0.32694,11.813,0,0.32694
0.11,0.41604,13.389,0,0.41604
0.12,0.51628,14.962,0,0.51628
0.13,0.62762,16.532,0,0.62762
0.14,0.75007,18.1,0,0.75007
0.15,0.88359,19.666,0,0.88359
0.16,1.0282,21.228,0,1.0282
0.17,1.1838,22.789,0,1.1838
0.18,1.3504,24.346,0,1.3504
0.19,1.5281,25.902,0,1.5281
0.2,1.7167,27.456,0,1.7167
0.21,1.9164,29.011,0,1.9164
0.22,2.127,30.567,0,2.127
0.23,2.3487,32.123,0,2.3487
0.24,2.5813,33.68,0,2.5813
0.25,2.825,35.238,0,2.825
0.26,3.0797,36.797,0,3.0797
0.27,3.3454,38.356,0,3.3454
0.28,3.6221,39.916,0,3.6221
0.29,3.9099,41.477,0,3.9099
0.3,4.2087,43.038,0,4.2087
0.31,4.5185,44.6,0,4.5185
0.32,4.8394,46.163,0,4.8394
0.33,5.1714,47.726,0,5.1714
0.345,5.6895,50.073,-8.07E-08,5.6906
0.3675,6.5112,53.595,-5.11E-07,6.5181
0.40125,7.8443,58.887,-1.88E-06,7.8693
0.45125,10.042,66.757,-5.60E-06,10.114
0.50125,12.505,74.665,-1.15E-05,12.649
0.55125,15.237,82.612,-1.97E-05,15.477
0.60125,18.239,90.596,-3.03E-05,18.598
0.65125,21.511,98.617,-4.36E-05,22.014
0.70125,25.055,106.67,-5.96E-05,25.726
0.75125,28.873,114.77,-7.86E-05,29.735
0.80125,32.965,122.89,-1.01E-04,34.042
0.85125,37.332,131.06,-1.26E-04,38.65
0.90125,41.976,139.25,-1.55E-04,43.559
0.95125,46.896,147.48,-1.88E-04,48.772
1.0013,52.094,155.74,-2.25E-04,54.29
1.0513,57.569,164.05,-2.66E-04,60.116
1.1013,63.322,172.4,-3.11E-04,66.252
1.1513,69.352,180.79,-3.61E-04,72.701
1.2013,75.66,189.23,-4.16E-04,79.468
1.2513,82.244,197.7,-4.77E-04,86.554
1.3013,89.105,206.22,-5.43E-04,93.963
1.3513,96.242,214.77,-6.17E-04,101.7
1.4013,103.65,223.36,-6.99E-04,109.76
1.4513,111.34,231.98,-7.89E-04,118.16
1.5013,119.3,240.64,-8.89E-04,126.89
1.5513,127.53,249.33,-9.99E-04,135.96
1.6013,136.05,258.05,-0.0011178,145.37
1.6513,144.83,266.8,-0.0012466,155.11
1.7013,153.9,275.57,-0.0013859,165.19
1.7513,163.25,284.37,-0.0015355,175.61
1.8013,172.89,293.19,-0.0016954,186.36
1.8513,182.81,302.02,-0.0018651,197.45
1.9013,193.02,310.86,-0.0020441,208.88
1.9513,203.51,319.72,-0.0022335,220.64
2.0013,214.29,328.6,-0.0024365,232.74
2.0513,225.36,337.5,-0.002655,245.19
2.1013,236.7,346.41,-0.0028886,257.98
2.1513,248.33,355.35,-0.0031371,271.12
2.2013,260.23,364.29,-0.0033984,284.61
2.2513,272.42,373.22,-0.0036693,298.44
2.3013,284.89,382.13,-0.0039452,312.62
2.3513,297.64,391.01,-0.0042231,327.15
2.4012,310.68,399.87,-0.0045063,342.02
2.4512,324,408.71,-0.0048055,357.22
