t,h,v,e,n
0,0,0,0,0
0.01,3.89E-04,0.10997,0,3.89E-04
0.02,0.0028233,0.57864,0,0.0028233
0.03,0.0098409,1.4063,0,0.0098409
0.04,0.023981,2.5932,0,0.023981
0.05,0.047404,4.0319,0,0.047404
0.06,0.081355,5.571,0,0.081355
0.07,0.12622,7.1203,0,0.12622
0.08,0.18208,8.6771,0,0.18208
0.09,0.24896,10.241,0,0.24896
0.1,0.32694,11.813,0,0.32694
0.11,0.41604,13.389,0,0.41604
0.12,0.51627,14.962,0,0.51627
0.13,0.62762,16.532,0,0.62762
0.14,0.75006,18.1,0,0.75006
0.15,0.88358,19.665,0,0.88358
0.16,1.0282,21.228,0,1.0282
0.17,1.1838,22.788,0,1.1838
0.18,1.3504,24.346,0,1.3504
0.19,1.5281,25.901,0,1.5281
0.2,1.7167,27.456,0,1.7167
0.21,1.9164,29.011,0,1.9164
0.22,2.127,30.566,0,2.127
0.23,2.3486,32.123,0,2.3486
0.24,2.5813,33.68,0,2.5813
0.25,2.8249,35.238,0,2.8249
0.26,3.0796,36.796,0,3.0796
0.27,3.3453,38.355,0,3.3453
0.28,3.622,39.915,0,3.622
0.29,3.9098,41.476,0,3.9098
0.3,4.2086,43.037,0,4.2086
0.31,4.5184,44.599,0,4.5184
0.32,4.8393,46.162,0,4.8393
0.33,5.1713,47.725,0,5.1713
0.345,5.6894,50.072,7.87E-06,5.6905
0.3675,6.5111,53.594,5.02E-05,6.518
0.40125,7.8442,58.885,1.86E-04,7.8691
0.45125,10.042,66.755,5.47E-04,10.113
0.50125,12.506,74.662,0.001083,12.648
0.55125,15.238,82.608,0.0017471,15.476
0.60125,18.239,90.592,0.0024535,18.596
0.65125,21.512,98.612,0.0030734,22.012
0.70125,25.056,106.67,0.0034284,25.723
0.75125,28.874,114.76,0.0032849,29.732
0.80125,32.965,122.89,0.0023488,34.039
0.85125,37.331,131.05,2.62E-04,38.647
0.90125,41.973,139.24,-0.003402,43.558
0.95125,46.891,147.47,-0.0091334,48.772
1.0013,52.084,155.73,-0.017486,54.293
1.0513,57.554,164.03,-0.029069,60.123
1.1013,63.299,172.38,-0.044531,66.265
1.1513,69.32,180.78,-0.064537,72.723
1.2013,75.616,189.21,-0.089742,79.499
1.2513,82.185,197.68,-0.12076,86.597
1.3013,89.028,206.19,-0.15811,94.022
1.3513,96.143,214.74,-0.20219,101.78
1.4013,103.53,223.33,-0.25325,109.86
1.4513,111.19,231.95,-0.31133,118.28
1.5013,119.11,240.6,-0.37629,127.04
1.5513,127.31,249.28,-0.44781,136.14
1.6013,135.78,258,-0.52544,145.58
1.6513,144.53,266.74,-0.60867,155.35
1.7013,153.55,275.51,-0.69704,165.47
1.7513,162.85,284.3,-0.79025,175.93
1.8013,172.44,293.11,-0.8882,186.72
1.8513,182.3,301.93,-0.99116,197.85
1.9013,192.46,310.76,-1.0997,209.32
1.9513,202.89,319.61,-1.2145,221.13
2.0013,213.61,328.49,-1.3367,233.28
2.0513,224.6,337.38,-1.4668,245.78
2.1013,235.87,346.28,-1.6055,258.63
2.1513,247.42,355.2,-1.7527,271.83
2.2013,259.24,364.14,-1.9079,285.38
2.2513,271.34,373.05,-2.0706,299.28
2.3013,283.72,381.95,-2.2399,313.53
2.3513,296.38,390.82,-2.4158,328.12
2.4012,309.32,399.67,-2.5986,343.06
2.4512,322.53,408.49,-2.7894,358.34
2.5012,336.02,417.29,-2.9891,373.97
2.5512,349.78,426.06,-3.1981,389.94
