t,a,v,e,n
0,0,0,0,0
0.01,4.07E-04,0.081798,0,4.28E-05
0.02,0.0034105,0.5223,0,3.58E-04
0.03,0.01258,1.3218,0,0.0013222
0.04,0.031488,2.4806,0,0.0033095
0.05,0.06317,3.8911,0,0.0066395
0.06,0.10938,5.402,0,0.011496
0.07,0.17067,6.9231,0,0.017938
0.08,0.24712,8.4518,0,0.025973
0.09,0.33881,9.988,0,0.035611
0.1,0.44582,11.532,0,0.046857
0.11,0.5682,13.079,0,0.05972
0.12,0.70595,14.624,0,0.074198
0.13,0.85905,16.166,0,0.09029
0.14,1.0275,17.706,0,0.10799
0.15,1.2112,19.243,0,0.1273
0.16,1.4102,20.778,0,0.14822
0.17,1.6245,22.31,0,0.17074
0.18,1.854,23.839,0,0.19486
0.19,2.0986,25.366,0,0.22058
0.2,2.3585,26.892,0,0.24789
0.21,2.6335,28.419,0,0.2768
0.22,2.9238,29.947,0,0.3073
0.23,3.2292,31.475,0,0.3394
0.24,3.5498,33.004,0,0.3731
0.25,3.8857,34.534,0,0.4084
0.26,4.2367,36.064,0,0.4453
0.27,4.603,37.595,0,0.48379
0.28,4.9845,39.127,0,0.52389
0.29,5.3813,40.66,0,0.56559
0.3,5.7933,42.193,0,0.6089
0.31,6.2205,43.727,0,0.6538
0.32,6.663,45.262,0,0.70031
0.33,7.1208,46.797,0,0.74842
0.345,7.8361,49.101,7.43E-06,0.82372
0.3675,8.9734,52.56,4.74E-05,0.94387
0.40125,10.825,57.755,1.75E-04,1.1403
0.45125,13.888,65.482,5.15E-04,1.4672
0.50125,17.336,73.246,0.0010143,1.8371
0.55125,21.171,81.048,0.0016212,2.2502
0.60125,25.395,88.888,0.002242,2.7067
0.65125,30.009,96.764,0.0027351,3.2067
0.70125,35.016,104.68,0.0029033,3.7505
0.75125,40.416,112.63,0.0024861,4.3382
0.80125,46.213,120.61,0.0011529,4.9703
0.85125,52.406,128.63,-0.0015028,5.6468
0.90125,59,136.68,-0.0059663,6.3682
0.95125,65.994,144.76,-0.012802,7.1348
1.0013,73.39,152.88,-0.022652,7.947
1.0513,81.191,161.04,-0.036222,8.8053
1.1013,89.398,169.25,-0.054274,9.7103
1.1513,98.014,177.5,-0.077597,10.663
1.2013,107.04,185.79,-0.10698,11.663
1.2513,116.48,194.12,-0.14316,12.712
1.3013,126.33,202.48,-0.1868,13.81
1.3513,136.6,210.89,-0.23845,14.958
1.4013,147.29,219.34,-0.29845,16.157
1.4513,158.4,227.82,-0.36698,17.407
1.5013,169.93,236.33,-0.44399,18.708
1.5513,181.89,244.88,-0.52922,20.061
1.6013,194.26,253.46,-0.62227,21.466
1.6513,207.07,262.07,-0.72264,22.923
1.7013,220.3,270.71,-0.82985,24.432
1.7513,233.97,279.37,-0.94356,25.992
1.8013,248.06,288.05,-1.0637,27.603
1.8513,262.58,296.75,-1.1904,29.265
1.9013,277.54,305.46,-1.3244,30.979
1.9513,292.93,314.19,-1.4665,32.745
2.0013,308.75,322.94,-1.6178,34.562
2.0513,325.01,331.71,-1.7793,36.433
2.1013,341.7,340.5,-1.9517,38.357
2.1513,358.84,349.31,-2.1353,40.335
2.2013,376.4,358.13,-2.3297,42.368
2.2513,394.41,366.94,-2.5343,44.454
2.3013,412.85,375.73,-2.7484,46.594
2.3513,431.73,384.49,-2.9716,48.787
2.4012,451.04,393.24,-3.2042,51.032
2.4512,470.78,401.96,-3.4471,53.33
2.5012,490.96,410.66,-3.7015,55.681
2.5512,511.57,419.34,-3.9682,58.086
2.6012,532.61,427.99,-4.2473,60.544
2.6512,554.08,436.62,-4.5378,63.056
2.7012,575.97,445.22,-4.8389,65.621
2.7512,598.29,453.8,-5.1508,68.238
2.8012,621.04,462.35,-5.4747,70.906
2.8512,644.2,470.87,-5.8116,73.628
2.9012,667.8,479.36,-6.1615,76.403
2.9512,691.81,487.79,-6.5237,79.231
3.0012,716.23,496.16,-6.8974,82.11
3.0512,741.07,504.45,-7.2834,85.04
3.1012,766.32,512.68,-7.6826,88.021
3.1512,791.98,520.83,-8.0954,91.054
3.2012,818.04,528.91,-8.5209,94.137
3.2512,844.49,536.92,-8.9588,97.27
3.3012,871.35,544.86,-9.4093,100.45
3.3512,898.59,552.72,-9.8732,103.69
3.4012,926.22,560.51,-10.351,106.97
3.4512,954.24,568.24,-10.842,110.3
3.5012,982.64,575.88,-11.347,113.68
