# Altitude (m),Position East of launch (m),Position North of launch (m)
0,0,0
3.885e-4,0,3.885e-4
0.0028211,0,0.0028211
0.0098333,0,0.0098333
0.023963,0,0.023963
0.047367,0,0.047367
0.081291,0,0.081291
0.12613,0,0.12613
0.18193,0,0.18193
0.24877,0,0.24877
0.32668,0,0.32668
0.41571,0,0.41571
0.51586,0,0.51586
0.62712,0,0.62712
0.74946,0,0.74946
0.88287,0,0.88287
1.0273,0,1.0273
1.1828,0,1.1828
1.3493,0,1.3493
1.5268,0,1.5268
1.7153,0,1.7153
1.9148,0,1.9148
2.1252,0,2.1252
2.3466,0,2.3466
2.5791,0,2.5791
2.8225,0,2.8225
3.0769,0,3.0769
3.3424,0,3.3424
3.6188,0,3.6188
3.9063,0,3.9063
4.2048,0,4.2048
4.5144,0,4.5144
4.8349,0,4.8349
5.1666,0,5.1666
5.6841,-1.4335e-4,5.6852
6.505,-9.086e-4,6.5119
7.8368,-0.0033555,7.8615
10.032,-0.010077,10.103
12.493,-0.020873,12.636
15.223,-0.036172,15.459
18.222,-0.056347,18.576
21.491,-0.081655,21.986
25.033,-0.11216,25.691
28.849,-0.14767,29.692
32.939,-0.18765,33.991
37.305,-0.23111,38.588
41.949,-0.27658,43.485
46.87,-0.32198,48.684
52.07,-0.3646,54.186
57.549,-0.40104,59.993
63.307,-0.42726,66.108
69.344,-0.43867,72.534
75.659,-0.43026,79.274
82.252,-0.39686,86.332
89.121,-0.33335,93.71
96.265,-0.23509,101.41
103.68,-0.098353,109.44
111.37,0.079229,117.81
119.33,0.29831,126.5
127.56,0.55761,135.54
136.06,0.85386,144.91
144.83,1.1821,154.62
153.87,1.5364,164.67
163.19,1.9105,175.07
172.8,2.299,185.8
182.68,2.6983,196.86
191.95,3.0716,207.25
202.22,3.4865,218.78
212.93,3.9263,230.82
223.93,4.3916,243.2
235.21,4.8895,255.92
245.03,5.3431,267.04
253.74,5.7597,276.91
263.29,6.231,287.76
275.5,6.8482,301.67
287.98,7.4876,315.92
298.26,8.0146,327.67
306.2,8.4218,336.77
314.61,8.8524,346.39
326.59,9.4706,360.13
340.18,10.185,375.74
348.76,10.646,385.6
356.13,11.049,394.09
364.56,11.515,403.81
377.38,12.234,418.62
391.12,13.006,434.51
398.49,13.421,443.05
406.63,13.878,452.47
418.98,14.577,466.79
433.97,15.438,484.2
441.71,15.89,493.21
451.07,16.441,504.11
465.28,17.284,520.67
475.97,17.919,533.15
484.73,18.439,543.37
497.17,19.181,557.91
513.78,20.181,577.35
524.17,20.815,589.53
537.12,21.611,604.72
554.32,22.675,624.93
567.43,23.487,640.35
583.07,24.458,658.76
600.93,25.576,679.81
616.44,26.558,698.12
634.73,27.725,719.74
653.25,28.912,741.67
672.01,30.116,763.89
691,31.342,786.42
710.21,32.593,809.25
729.65,33.868,832.37
749.3,35.163,855.77
769.15,36.474,879.45
789.2,37.803,903.38
809.42,39.152,927.56
829.81,40.52,951.97
