z,x,y
0,0,0
3.8825e-4,3.8825e-4,0
0.0028201,0.0028201,0
0.0098309,0.0098309,0
0.023958,0.023958,0
0.047359,0.047359,0
0.081279,0.081279,0
0.12611,0.12611,0
0.18191,0.18191,0
0.24873,0.24873,0
0.32663,0.32663,0
0.41565,0.41565,0
0.51578,0.51578,0
0.62701,0.62701,0
0.74933,0.74933,0
0.88272,0.88272,0
1.0271,1.0271,0
1.1826,1.1826,0
1.3491,1.3491,0
1.5265,1.5265,0
1.715,1.715,0
1.9144,1.9144,0
2.1248,2.1248,0
2.3462,2.3462,0
2.5785,2.5785,0
2.8219,2.8219,0
3.0763,3.0763,0
3.3417,3.3417,0
3.6181,3.6181,0
3.9055,3.9055,0
4.2039,4.2039,0
4.5134,4.5134,0
4.8339,4.8339,0
5.1654,5.1654,0
5.6829,5.6839,2.6911e-7
6.504,6.51,1.7222e-6
7.8365,7.8581,6.4339e-6
10.034,10.096,1.9549e-5
12.5,12.623,4.079e-5
15.235,15.439,7.1033e-5
18.241,18.545,1.1115e-4
21.519,21.944,1.6202e-4
25.07,25.636,2.246e-4
28.895,29.624,2.9986e-4
32.995,33.909,3.8883e-4
37.368,38.493,4.9266e-4
42.016,43.38,6.1254e-4
46.937,48.571,7.4977e-4
52.129,54.072,9.0578e-4
57.591,59.886,0.0010822
63.321,66.019,0.0012809
69.315,72.475,0.0015038
75.571,79.26,0.0017538
82.085,86.379,0.0020344
88.853,93.839,0.0023499
95.873,101.64,0.0027054
103.14,109.8,0.0031069
110.66,118.3,0.0035607
118.42,127.16,0.0040729
126.44,136.37,0.0046495
134.71,145.93,0.0052949
143.24,155.85,0.0060107
152.03,166.11,0.006796
161.09,176.72,0.0076481
170.43,187.67,0.0085638
179.98,198.9,0.0095357
189.87,210.53,0.010576
200.02,222.51,0.011683
210.44,234.84,0.01286
221.13,247.53,0.01411
232.07,260.58,0.015435
240.98,271.25,0.016549
250.63,282.86,0.017791
262.25,296.87,0.019333
274.13,311.24,0.020967
285.24,324.7,0.022548
293.4,334.59,0.023741
302.54,345.69,0.025109
315.3,361.22,0.027068
328.33,377.1,0.029122
336.24,386.78,0.030399
344.21,396.55,0.031708
356.21,411.29,0.033722
370.01,428.27,0.036104
378.02,438.14,0.037519
386.07,448.07,0.038961
398.3,463.16,0.041192
412.86,481.18,0.043911
420.96,491.23,0.045452
430.91,503.59,0.047371
446.02,522.39,0.050343
456.26,535.14,0.052399
466.08,547.39,0.054403
481.01,566.03,0.057509
496.5,585.42,0.060809
508.67,600.68,0.063448
524.98,621.16,0.067051
540.77,641.03,0.070613
557.54,662.15,0.074482
574.54,683.6,0.078486
591.31,704.81,0.082515
608.75,726.9,0.086785
626.4,749.3,0.091184
644.28,772.01,0.09572
662.37,795.02,0.1004
680.67,818.35,0.10522
