z,x,y
0,0,0
4.0647e-4,4.2721e-5,0
0.003408,3.5819e-4,0
0.012571,0.0013212,0
0.031463,0.0033069,0
0.063122,0.0066343,0
0.1093,0.011487,0
0.17053,0.017924,0
0.24693,0.025953,0
0.33855,0.035583,0
0.44547,0.046821,0
0.56775,0.059673,0
0.70539,0.07414,0
0.85837,0.090219,0
1.0267,0.10791,0
1.2102,0.1272,0
1.4091,0.1481,0
1.6232,0.1706,0
1.8524,0.1947,0
2.0969,0.22039,0
2.3565,0.24768,0
2.6313,0.27656,0
2.9213,0.30704,0
3.2265,0.33911,0
3.5468,0.37278,0
3.8823,0.40805,0
4.233,0.44491,0
4.599,0.48337,0
4.9801,0.52343,0
5.3765,0.56509,0
5.7881,0.60835,0
6.2149,0.65321,0
6.657,0.69968,0
7.1143,0.74774,0
7.8288,0.82296,-1.415e-4
8.965,0.94298,-8.9681e-4
10.814,1.1392,-0.003312
13.874,1.4657,-0.009948
17.319,1.8351,-0.020616
21.15,2.2476,-0.035748
25.368,2.7033,-0.055729
29.977,3.2023,-0.080827
34.978,3.7449,-0.11113
40.372,4.3312,-0.14645
46.161,4.9614,-0.18627
52.348,5.6357,-0.22962
58.933,6.3542,-0.27503
65.919,7.1172,-0.32043
73.307,7.9251,-0.36309
81.098,8.7782,-0.3996
89.296,9.677,-0.42589
97.902,10.622,-0.43732
106.92,11.614,-0.42885
116.34,12.653,-0.39526
126.19,13.74,-0.33137
136.44,14.876,-0.23244
147.11,16.062,-0.094598
158.2,17.297,0.084741
169.71,18.584,0.30651
181.64,19.922,0.56975
193.99,21.311,0.87151
206.77,22.752,1.2072
219.97,24.245,1.5709
233.6,25.789,1.9565
247.66,27.384,2.3583
262.16,29.031,2.7723
277.08,30.728,3.1975
292.44,32.476,3.6359
308.22,34.275,4.0925
324.45,36.125,4.5745
341.1,38.027,5.0889
357.62,39.917,5.6223
372.36,41.606,6.1172
390.18,43.652,6.7362
408.5,45.758,7.3872
427.24,47.916,8.0603
442.49,49.673,8.608
456.07,51.24,9.0955
473.26,53.223,9.7137
493.46,55.556,10.449
513.45,57.867,11.193
526.21,59.344,11.678
541.23,61.084,12.257
562.83,63.59,13.101
582.44,65.866,13.87
595.14,67.342,14.368
611.43,69.236,15.007
634.39,71.906,15.916
649.77,73.697,16.534
663.6,75.309,17.096
684.62,77.76,17.96
708.89,80.592,18.96
724.13,82.373,19.589
747.29,85.079,20.548
772.59,88.039,21.606
791.07,90.203,22.389
817.07,93.249,23.499
843.47,96.345,24.63
867.36,99.149,25.655
894.49,102.34,26.826
922.02,105.57,28.026
949.92,108.86,29.253
978.21,112.19,30.504
1006.9,115.56,31.773
1035.9,118.99,33.064
1065.3,122.46,34.38
1095.1,125.98,35.723
1125.2,129.54,37.088
1155.6,133.14,38.471
1186.4,136.78,39.872
1217.5,140.46,41.293
1248.8,144.17,42.734
1280.4,147.92,44.193
1312.2,151.7,45.666
1344.2,155.51,47.151
1376.5,159.34,48.649
