z,x,y
0,0,0
3.8874e-4,-3.8874e-4,0
0.002822,-0.002822,0
0.0098353,-0.0098353,0
0.023966,-0.023966,0
0.047372,-0.047372,0
0.081298,-0.081298,0
0.12613,-0.12613,0
0.18195,-0.18195,0
0.24878,-0.24878,0
0.3267,-0.3267,0
0.41574,-0.41574,0
0.5159,-0.5159,0
0.62717,-0.62717,0
0.74952,-0.74952,0
0.88295,-0.88295,0
1.0274,-1.0274,0
1.1829,-1.1829,0
1.3495,-1.3495,0
1.527,-1.527,0
1.7155,-1.7155,0
1.915,-1.915,0
2.1255,-2.1255,0
2.347,-2.347,0
2.5794,-2.5794,0
2.8229,-2.8229,0
3.0774,-3.0774,0
3.3429,-3.3429,0
3.6195,-3.6195,0
3.907,-3.907,0
4.2056,-4.2056,0
4.5153,-4.5153,0
4.8359,-4.8359,0
5.1676,-5.1676,0
5.6853,-5.6865,-2.6935e-7
6.5062,-6.5138,-1.7245e-6
7.8375,-7.865,-6.4461e-6
10.031,-10.11,-1.9606e-5
12.489,-12.648,-4.0969e-5
15.214,-15.479,-7.1479e-5
18.208,-18.605,-1.1212e-4
21.471,-22.027,-1.639e-4
25.005,-25.745,-2.2785e-4
28.813,-29.76,-3.0507e-4
32.896,-34.073,-3.9673e-4
37.256,-38.685,-5.0417e-4
41.896,-43.594,-6.2892e-4
46.819,-48.802,-7.7279e-4
52.025,-54.308,-9.3768e-4
57.519,-60.113,-0.0011255
63.302,-66.216,-0.0013382
69.378,-72.618,-0.0015781
75.747,-79.321,-0.0018475
82.413,-86.325,-0.0021489
89.376,-93.631,-0.0024854
96.636,-101.24,-0.0028599
104.19,-109.16,-0.0032753
112.05,-117.39,-0.0037349
120.2,-125.94,-0.0042421
128.65,-134.8,-0.0048002
137.39,-143.98,-0.0054122
146.42,-153.49,-0.0060809
155.74,-163.33,-0.0068091
165.35,-173.51,-0.0075993
175.25,-184.01,-0.0084528
185.44,-194.84,-0.0093715
195.92,-206.01,-0.010357
206.71,-217.5,-0.011413
217.79,-229.32,-0.01254
229.18,-241.47,-0.013743
240.87,-253.94,-0.015025
252.86,-266.74,-0.016389
265.14,-279.88,-0.017839
277.73,-293.34,-0.01938
290.6,-307.15,-0.021015
303.77,-321.3,-0.022747
317.23,-335.77,-0.024571
330.98,-350.58,-0.026488
345.02,-365.72,-0.028496
359.37,-381.19,-0.030595
374,-396.98,-0.032789
388.92,-413.1,-0.035088
403.83,-429.25,-0.037457
419.31,-446.02,-0.039986
435.07,-463.13,-0.042627
450.79,-480.18,-0.045313
467.11,-497.92,-0.048156
483.72,-515.99,-0.051109
500.6,-534.38,-0.054184
517.75,-553.09,-0.057388
535.18,-572.11,-0.060718
552.88,-591.44,-0.06416
570.84,-611.08,-0.067718
589.06,-631.04,-0.071412
607.54,-651.3,-0.075249
626.29,-671.86,-0.079213
645.29,-692.72,-0.083293
664.53,-713.88,-0.087495
684.03,-735.33,-0.091842
703.77,-757.08,-0.096338
723.76,-779.11,-0.10096
743.98,-801.43,-0.1057
764.45,-824.03,-0.11058
785.13,-846.9,-0.11564
806.03,-870.04,-0.12084
827.13,-893.41,-0.12618
848.42,-917.02,-0.13163
869.88,-940.84,-0.13724
891.5,-964.86,-0.14301
913.27,-989.07,-0.14891
935.17,-1013.5,-0.1549
957.2,-1038,-0.161
979.33,-1062.7,-0.16725
1001.6,-1087.5,-0.17366
1023.9,-1112.5,-0.18021
1046.3,-1137.6,-0.18684
1068.8,-1162.8,-0.19357
1091.4,-1188.1,-0.20042
1114.1,-1213.6,-0.20742
